title
"Number of Jobs Ended: by Node Count"
parameters
"Resource =  SDSC-COMET"
start,end
2016-02-01,2016-07-31
---------
Day,"[1] Number of Jobs Ended","[2] Number of Jobs Ended","[10] Number of Jobs Ended","[4] Number of Jobs Ended","[8] Number of Jobs Ended","[3] Number of Jobs Ended","[6] Number of Jobs Ended","[12] Number of Jobs Ended","[16] Number of Jobs Ended","[5] Number of Jobs Ended","[22] Number of Jobs Ended","[64] Number of Jobs Ended","[24] Number of Jobs Ended","[20] Number of Jobs Ended","[32] Number of Jobs Ended","[9] Number of Jobs Ended","[60] Number of Jobs Ended","[25] Number of Jobs Ended","[15] Number of Jobs Ended","[7] Number of Jobs Ended","[18] Number of Jobs Ended","[72] Number of Jobs Ended","[30] Number of Jobs Ended","[11] Number of Jobs Ended","[40] Number of Jobs Ended","[48] Number of Jobs Ended","[36] Number of Jobs Ended","[50] Number of Jobs Ended","[43] Number of Jobs Ended","[14] Number of Jobs Ended","[13] Number of Jobs Ended","[17] Number of Jobs Ended","[42] Number of Jobs Ended","[70] Number of Jobs Ended","[21] Number of Jobs Ended","[62] Number of Jobs Ended","[34] Number of Jobs Ended","[35] Number of Jobs Ended","[45] Number of Jobs Ended","[26] Number of Jobs Ended","[54] Number of Jobs Ended","[28] Number of Jobs Ended","[38] Number of Jobs Ended","[56] Number of Jobs Ended","[46] Number of Jobs Ended","[33] Number of Jobs Ended","[27] Number of Jobs Ended","[19] Number of Jobs Ended","[31] Number of Jobs Ended","[65] Number of Jobs Ended","[23] Number of Jobs Ended","[41] Number of Jobs Ended","[44] Number of Jobs Ended","[52] Number of Jobs Ended","[53] Number of Jobs Ended","[55] Number of Jobs Ended","[49] Number of Jobs Ended","[63] Number of Jobs Ended","[37] Number of Jobs Ended","[39] Number of Jobs Ended","[61] Number of Jobs Ended","[29] Number of Jobs Ended","[47] Number of Jobs Ended","[67] Number of Jobs Ended","[68] Number of Jobs Ended","[66] Number of Jobs Ended","[57] Number of Jobs Ended","[58] Number of Jobs Ended","[59] Number of Jobs Ended"
2016-04-22,20691,585,32,130,35,30,18,16,32,31,3,1,6,5,4,11,2,1,1,8,0,0,0,1,1,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-23,9186,164,27,21,58,157,25,14,9,11,3,4,1,3,6,2,6,0,3,6,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-24,9321,240,13,80,71,51,11,10,13,5,4,11,4,4,15,22,3,3,3,37,0,0,1,0,0,0,2,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-25,9744,673,14,51,49,29,16,14,6,7,1,0,14,11,2,27,8,15,18,26,0,1,0,0,1,0,0,0,8,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-26,12951,675,37,163,128,289,26,20,28,6,2,0,0,10,38,0,18,21,4,1,0,0,0,0,0,0,0,0,2,0,0,0,0,5,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-27,14282,660,36,78,47,38,31,18,11,11,3,0,8,15,2,0,11,14,1,0,0,0,0,2,0,0,4,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-28,13957,594,30,61,60,359,23,33,18,7,1,0,12,22,3,1,21,3,0,1,8,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-29,16634,447,14,80,24,14,26,16,28,6,1,0,14,18,3,1,16,1,1,0,0,0,1,0,2,2,1,0,3,0,0,1,0,1,0,0,0,2,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2016-04-30,18120,180,25,52,37,44,16,15,14,21,0,0,2,3,3,1,3,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2016-05-01,20934,222,27,33,15,19,31,4,18,18,1,0,2,2,4,3,4,0,1,1,3,3,2,0,0,0,3,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-02,14358,563,40,64,26,21,17,10,49,12,0,16,2,31,1,4,18,3,0,3,0,1,0,0,0,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-03,10121,574,31,60,29,18,24,28,57,17,3,11,9,10,3,5,15,8,0,0,3,1,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-04,8076,542,46,51,60,47,13,47,37,19,2,25,5,23,1,12,14,5,9,10,4,4,1,6,0,0,14,0,0,6,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-05,12496,565,116,82,34,32,24,27,23,18,4,5,6,19,2,21,12,2,14,13,8,10,1,12,0,0,14,0,2,19,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-06,11616,454,39,65,37,21,10,15,12,7,2,19,1,12,3,3,14,0,3,4,4,4,0,0,0,0,6,0,6,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-07,13787,153,27,36,22,18,14,7,6,7,2,21,0,1,5,1,3,8,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-08,16731,223,11,73,38,17,21,12,21,8,3,27,3,7,3,0,1,2,0,2,0,0,1,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-09,13394,519,65,75,45,76,9,7,26,4,2,21,9,4,1,0,11,16,0,1,1,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-10,17133,607,113,106,131,25,12,7,18,3,0,17,1,7,1,3,8,5,1,1,1,0,2,2,3,0,1,1,6,0,0,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2016-05-11,17793,665,71,38,53,17,10,21,15,9,1,18,11,13,0,4,4,12,2,0,0,0,5,0,3,0,0,0,6,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-12,19314,712,65,55,27,242,13,16,9,5,5,5,12,5,1,1,6,13,0,0,1,0,4,2,3,0,0,0,4,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-13,18670,642,19,75,30,22,9,11,10,16,4,0,7,10,6,1,10,0,1,1,0,3,1,0,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-14,4857,323,15,74,25,180,15,4,4,18,3,0,7,13,0,9,4,0,0,0,0,0,0,5,4,1,0,0,0,4,0,0,1,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2016-05-15,4343,354,54,250,18,220,8,4,7,52,0,0,6,18,0,2,1,1,1,1,1,0,0,0,0,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-16,4343,744,90,147,40,238,19,6,13,15,2,4,6,9,2,2,14,9,0,0,0,0,0,16,2,1,14,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-17,6317,553,20,49,31,26,22,5,8,27,2,8,4,5,5,6,9,8,0,1,0,0,0,13,3,0,6,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-18,5442,1166,42,74,16,121,13,7,17,11,4,3,1,4,6,4,23,5,0,0,0,0,0,8,5,0,1,2,0,1,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-19,9254,1126,36,15,22,64,5,7,12,6,1,2,2,7,10,5,23,17,0,0,0,0,1,9,2,0,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-20,4018,628,24,30,29,17,16,7,7,8,6,5,3,1,6,5,7,7,0,0,0,0,0,0,1,0,6,0,0,7,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-21,2314,347,37,28,38,6,16,6,6,20,1,12,3,0,3,4,4,4,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-22,5286,321,12,22,36,6,9,4,5,6,9,10,4,0,3,0,7,1,0,0,0,0,5,2,3,0,0,1,0,0,0,0,0,2,1,1,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-23,4761,631,16,32,39,16,28,4,6,12,2,5,5,0,8,3,0,1,0,0,1,7,9,3,1,0,0,0,0,14,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-24,4966,626,11,49,48,36,23,10,7,27,3,0,6,2,5,0,9,1,0,0,0,2,4,2,2,3,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2016-05-25,4549,630,19,29,44,10,20,20,14,27,2,2,2,1,7,0,5,2,3,0,0,2,4,9,3,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-26,5859,443,9,30,32,6,38,10,9,14,0,4,0,1,2,3,7,1,3,1,0,2,5,1,3,0,3,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-27,5457,514,18,96,15,18,8,11,11,19,3,7,4,9,3,0,3,2,5,0,0,5,5,0,1,0,8,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2016-05-28,2787,151,15,64,40,15,40,6,16,7,3,0,3,6,3,2,4,0,2,1,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-29,4574,241,4,38,26,5,6,9,28,64,1,12,0,9,22,0,1,3,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-30,2913,509,9,27,14,22,13,9,23,20,0,8,3,17,5,0,0,14,0,0,0,0,2,3,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-31,2840,564,6,64,31,44,3,20,12,7,0,4,3,17,3,2,1,21,2,0,0,0,2,4,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01,2972,452,5,125,25,25,15,7,21,7,1,4,2,5,12,0,2,8,4,1,0,2,15,1,1,1,6,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-02,8543,443,12,42,19,12,8,6,12,30,0,5,3,7,19,0,4,8,6,0,0,0,9,0,0,0,0,2,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-03,6193,393,16,48,86,9,5,34,13,8,2,2,0,5,4,1,0,2,4,24,1,0,6,2,1,0,0,0,0,1,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-04,5854,121,5,21,11,14,12,37,4,6,0,1,1,3,8,1,4,0,1,39,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-05,6028,165,4,163,22,9,3,5,15,7,0,1,2,5,12,0,1,15,1,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-06,5620,272,29,23,20,78,14,18,27,15,17,0,11,3,3,0,2,16,1,0,1,1,9,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-07,5183,292,70,35,39,21,5,9,8,31,6,12,4,5,5,0,1,1,0,4,0,0,7,0,1,10,3,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-08,3982,268,31,20,24,24,1,4,11,5,2,5,4,1,4,2,1,5,2,4,13,1,7,3,1,0,1,0,0,3,22,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-09,5625,388,12,35,15,9,3,4,18,5,1,1,4,2,5,1,0,4,1,2,18,6,5,5,2,0,1,0,0,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-10,3923,450,9,35,42,33,6,42,26,13,1,2,3,10,5,6,2,4,3,30,1,2,4,6,0,0,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-11,886,147,1,38,21,24,5,71,12,4,2,1,3,4,16,6,0,8,4,69,0,0,3,0,1,3,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-12,4565,272,6,12,3,24,9,29,8,7,0,13,2,1,13,4,0,0,4,32,0,1,3,3,1,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-13,11707,326,33,33,17,30,11,7,7,14,3,2,14,0,9,13,0,5,9,0,7,0,1,19,0,0,6,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-14,6629,314,20,43,11,53,8,9,10,11,0,2,12,5,0,12,0,5,5,1,1,7,9,7,0,2,9,1,0,0,1,3,0,0,0,0,0,4,0,8,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-15,5970,306,11,39,44,33,12,9,4,9,4,3,3,3,0,4,1,2,18,2,1,2,13,30,0,2,1,1,0,1,0,13,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-16,7534,351,11,19,70,31,4,5,10,5,0,1,11,1,0,0,0,3,12,0,0,0,8,36,0,0,2,0,0,1,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-17,8174,277,18,37,58,186,5,5,6,5,0,3,13,3,1,0,0,7,13,0,0,1,2,10,1,0,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-18,9320,178,5,93,21,12,4,6,3,12,0,12,5,4,0,0,2,4,8,5,0,3,5,3,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-19,876,321,0,14,32,3,0,6,10,9,0,13,0,0,0,0,1,0,0,0,0,3,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-20,2848,351,2,14,16,40,2,7,7,8,0,1,4,1,2,0,0,1,0,0,0,2,1,4,0,0,1,0,2,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-21,6235,574,16,41,40,25,18,4,7,52,0,2,0,4,6,0,0,5,6,0,2,2,17,3,9,2,6,0,2,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-22,10066,348,22,27,25,32,10,7,7,43,1,1,4,12,1,0,0,8,17,3,0,0,39,6,11,0,2,11,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-23,5050,462,27,71,28,99,9,10,21,11,0,2,2,8,0,0,4,13,2,2,0,0,8,5,4,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-24,5062,359,44,71,33,21,10,9,12,5,0,5,3,3,1,1,1,11,3,1,0,2,4,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-25,3929,146,4,36,88,15,7,5,11,8,0,1,1,3,2,0,1,0,1,0,0,0,8,0,11,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-26,1232,119,13,29,143,5,1,6,7,5,0,0,1,2,5,1,1,0,0,1,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2016-06-27,2764,374,49,39,305,95,6,10,24,13,1,1,0,3,3,9,5,3,5,7,2,1,8,0,0,1,1,4,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-28,2764,555,20,48,229,36,11,4,18,5,0,7,0,6,6,3,6,3,10,3,6,4,9,0,2,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-29,2994,465,20,71,73,103,8,6,6,16,0,22,1,7,13,0,0,16,13,0,3,3,17,3,1,1,1,15,0,1,0,0,0,2,0,0,1,3,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
2016-06-30,2623,327,22,63,142,18,64,7,16,33,0,14,3,12,10,1,10,9,4,0,9,0,6,2,6,3,1,8,4,5,5,0,5,0,0,0,1,3,3,2,0,2,1,0,0,0,0,1,0,0,0,5,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2016-07-01,13845,277,20,87,134,165,70,7,229,43,0,6,54,8,6,0,7,3,3,0,5,5,1,3,2,2,2,2,1,0,1,0,1,1,0,0,1,0,0,0,0,1,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-02,17291,118,18,4,211,6,124,3,10,67,0,1,2,6,4,0,3,1,2,0,0,0,3,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-03,16458,169,26,23,103,26,199,8,16,131,0,0,4,13,4,0,2,2,6,1,0,0,2,5,5,2,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-04,10357,201,36,43,39,12,55,7,5,38,40,1,1,3,4,0,3,31,3,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-05,21211,429,32,124,38,28,29,7,14,27,126,2,67,6,4,8,3,15,6,5,0,1,5,9,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-06,6975,305,19,64,115,12,13,31,16,28,11,6,27,0,3,3,4,9,3,22,1,1,9,4,2,1,1,7,0,1,2,0,1,0,0,8,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2016-07-07,7601,374,28,20,25,10,32,12,6,39,110,2,8,3,8,3,9,8,0,3,0,0,2,2,0,0,1,3,0,13,1,0,0,0,0,1,0,0,1,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-08,4958,373,148,44,60,42,23,13,17,56,17,209,123,1,7,0,9,5,1,9,0,4,0,2,4,0,0,0,0,1,2,0,0,0,0,5,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-09,9646,190,74,41,202,18,30,9,16,11,74,74,15,4,11,0,3,5,3,2,0,1,4,0,6,0,4,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-10,11431,163,28,17,1910,4,780,8,5,70,1,25,14,8,8,0,10,14,7,0,0,0,1,0,3,0,0,0,0,2,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-11,5316,330,119,46,725,21,411,16,15,7,24,20,5,11,12,0,8,12,11,6,0,0,4,0,12,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-12,7609,338,56,63,22,8,56,11,23,16,57,13,2,16,5,0,8,9,8,1,0,0,3,2,10,0,3,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2016-07-13,8358,367,102,61,164,31,127,7,25,9,66,18,3,0,14,6,13,2,1,2,2,0,8,1,3,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-14,9848,400,40,123,421,49,91,7,20,10,25,16,10,16,4,9,12,2,1,1,2,1,12,0,1,0,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-15,13612,450,45,80,102,40,87,9,8,20,88,12,14,5,4,1,15,12,3,2,0,3,5,0,0,0,3,2,0,0,0,11,0,0,1,0,0,0,1,1,0,0,2,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-16,7385,298,724,83,249,14,222,10,23,6,37,24,11,3,5,2,1,5,4,3,1,1,2,2,0,2,1,4,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-17,9300,148,2000,53,104,22,93,3,6,24,53,18,3,3,4,1,4,12,0,61,0,1,2,1,0,0,0,4,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-18,6727,458,501,113,121,19,44,6,20,64,63,4,1,6,1,2,24,3,8,32,0,1,2,0,3,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
