title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  SDSC-COMET"
start,end
2015-08-01,2016-01-31
---------
Day,"[1] Number of Jobs Running","[2] Number of Jobs Running","[4] Number of Jobs Running","[8] Number of Jobs Running","[3] Number of Jobs Running","[6] Number of Jobs Running","[12] Number of Jobs Running","[10] Number of Jobs Running","[16] Number of Jobs Running","[5] Number of Jobs Running","[20] Number of Jobs Running","[7] Number of Jobs Running","[40] Number of Jobs Running","[32] Number of Jobs Running","[24] Number of Jobs Running","[18] Number of Jobs Running","[72] Number of Jobs Running","[9] Number of Jobs Running","[15] Number of Jobs Running","[30] Number of Jobs Running","[64] Number of Jobs Running","[11] Number of Jobs Running","[25] Number of Jobs Running","[22] Number of Jobs Running","[42] Number of Jobs Running","[14] Number of Jobs Running","[21] Number of Jobs Running","[48] Number of Jobs Running","[17] Number of Jobs Running","[36] Number of Jobs Running","[50] Number of Jobs Running","[13] Number of Jobs Running","[60] Number of Jobs Running","[70] Number of Jobs Running","[26] Number of Jobs Running","[19] Number of Jobs Running","[54] Number of Jobs Running","[43] Number of Jobs Running","[71] Number of Jobs Running","[28] Number of Jobs Running","[33] Number of Jobs Running","[56] Number of Jobs Running","[55] Number of Jobs Running","[67] Number of Jobs Running","[29] Number of Jobs Running","[51] Number of Jobs Running","[27] Number of Jobs Running","[65] Number of Jobs Running","[35] Number of Jobs Running","[41] Number of Jobs Running","[52] Number of Jobs Running","[58] Number of Jobs Running","[44] Number of Jobs Running","[45] Number of Jobs Running","[49] Number of Jobs Running","[34] Number of Jobs Running","[68] Number of Jobs Running","[23] Number of Jobs Running","[31] Number of Jobs Running","[37] Number of Jobs Running","[38] Number of Jobs Running","[46] Number of Jobs Running","[39] Number of Jobs Running","[57] Number of Jobs Running","[63] Number of Jobs Running","[66] Number of Jobs Running"
2015-10-26,1608,468,111,99,148,41,29,5,31,27,17,3,8,2,26,10,2,3,7,1,3,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-27,2000,311,160,65,134,16,144,7,31,34,17,1,7,0,3,6,5,3,2,2,5,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-28,2463,409,364,60,139,29,91,13,49,30,11,2,21,7,8,6,5,19,1,1,3,5,0,0,0,0,1,2,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-29,1841,473,264,117,96,24,17,26,33,22,16,7,22,6,2,0,0,8,0,1,6,24,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-30,1806,317,251,74,71,61,8,15,38,27,20,8,1,7,74,2,0,8,0,1,7,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-31,1903,383,218,65,50,32,52,5,16,28,9,1,3,3,14,19,0,5,0,1,7,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-01,2820,315,140,55,50,39,11,2,20,25,1,0,2,7,26,27,0,4,0,3,6,4,0,0,2,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-02,3569,319,168,89,85,26,13,7,30,8,14,0,1,24,53,10,0,6,0,1,10,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-03,4632,460,165,68,79,17,14,20,39,16,17,9,1,23,3,22,12,8,0,2,8,3,0,0,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2015-11-04,2153,415,317,118,90,29,38,39,35,21,7,0,8,3,8,16,6,1,0,1,6,37,0,0,17,3,14,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-05,1672,396,351,105,72,25,13,74,31,23,5,0,8,1,2,16,1,3,0,2,1,13,1,0,10,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-06,1370,422,120,108,85,24,27,31,23,31,6,2,7,0,5,10,2,2,1,1,2,9,6,0,13,2,8,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-07,925,232,97,92,74,15,12,11,15,30,1,4,8,1,12,10,1,3,1,1,1,5,14,0,12,1,7,0,0,0,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-08,1152,209,390,65,97,15,6,2,29,26,5,3,7,0,9,13,0,2,1,0,3,19,2,0,16,1,13,0,0,0,0,18,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-09,5791,343,56,89,124,8,24,109,31,37,2,5,5,0,6,13,1,1,3,0,4,3,24,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-10,5334,490,45,126,134,13,60,56,28,36,0,5,11,0,6,8,6,2,0,1,7,9,1,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-11,1657,506,35,82,120,11,13,407,27,31,3,9,10,6,6,12,2,2,0,3,4,5,19,0,1,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-12,1436,381,57,96,126,9,20,537,31,19,4,16,14,10,8,10,3,2,0,7,5,8,1,0,2,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-13,3119,300,50,44,97,7,16,22,23,22,3,1,10,0,6,13,7,5,0,5,3,7,6,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-14,2850,253,47,130,92,10,13,9,16,10,0,0,8,3,4,8,14,3,0,2,5,5,10,0,1,1,1,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-15,1693,325,54,159,79,9,11,7,44,13,2,0,5,28,2,12,3,4,0,1,5,4,13,1,1,0,1,0,2,0,0,14,0,0,3,7,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-16,1605,414,104,144,80,13,17,15,39,9,4,8,14,25,5,8,5,2,0,3,2,2,8,2,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-17,4931,542,62,227,78,60,20,12,38,23,8,9,7,33,4,12,19,2,0,17,1,3,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-18,7835,498,109,150,64,57,27,13,33,12,3,0,3,3,6,12,26,4,0,11,5,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015-11-19,3069,339,89,94,79,40,53,6,44,23,2,1,5,26,3,67,3,3,0,6,4,5,5,1,5,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-20,2843,431,64,42,29,39,15,7,20,23,4,5,8,3,6,25,1,8,0,4,3,1,15,1,4,1,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2015-11-21,1599,196,100,17,37,44,43,6,12,13,3,42,10,0,4,11,0,13,1,3,1,2,34,1,6,3,0,0,8,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2015-11-22,1535,246,271,47,26,27,20,5,19,23,3,14,7,7,6,1,1,4,1,0,2,0,40,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-23,2199,337,165,73,10,66,62,10,51,31,11,57,5,6,4,6,4,2,0,0,5,1,0,0,4,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-24,1564,422,143,66,6,58,45,9,39,22,9,33,7,4,5,5,4,8,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-25,2803,452,182,53,39,69,51,8,42,20,5,30,12,33,16,6,0,4,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-26,1958,287,201,44,29,57,38,5,13,12,0,15,2,9,22,0,0,6,4,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-27,1319,290,133,45,16,54,36,9,19,13,2,20,0,16,9,0,0,1,0,0,3,0,0,0,0,4,0,7,0,0,0,0,0,1,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-28,1126,230,187,41,45,22,14,4,12,12,3,0,0,18,7,0,2,4,7,0,1,0,6,3,0,10,0,3,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-29,896,244,75,24,9,0,21,3,20,88,0,0,3,2,9,0,1,2,6,0,1,0,0,1,0,33,0,2,0,0,0,2,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-30,1590,371,110,78,21,8,31,3,38,51,6,1,5,16,4,0,3,0,5,0,4,1,0,0,2,8,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-01,3068,337,80,83,31,16,36,7,17,20,5,0,6,1,2,8,2,5,3,0,4,1,0,0,2,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-02,8003,445,203,90,24,31,39,3,25,19,18,0,6,2,2,8,0,8,8,0,3,0,0,0,2,0,0,0,5,0,0,0,10,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-03,5309,293,75,49,15,18,9,3,28,17,12,0,0,2,1,10,4,1,13,3,7,0,3,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-04,784,203,30,11,15,2,1,1,3,5,3,0,1,2,0,1,0,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-05,800,153,9,4,2,1,0,0,1,2,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-06,1848,308,100,71,10,11,8,3,23,14,13,2,4,7,8,4,1,0,6,0,5,0,0,0,2,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-07,2225,314,75,46,12,21,37,2,18,10,15,21,11,3,11,6,2,0,8,1,7,0,1,0,3,0,1,0,2,1,0,0,0,20,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-08,2293,472,320,53,58,32,33,16,34,8,6,27,6,13,6,7,4,2,11,9,11,2,0,0,11,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2015-12-09,3862,420,124,48,69,36,37,8,15,10,8,20,5,1,6,9,4,4,12,2,6,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2015-12-10,3983,524,274,91,53,113,57,102,29,43,7,51,13,27,9,9,2,8,19,8,8,4,0,1,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2015-12-11,2642,324,70,58,36,80,25,342,15,23,6,27,7,6,8,6,1,0,36,7,0,5,1,12,5,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-12,2661,237,50,73,37,38,12,10,8,48,0,12,3,4,3,4,1,0,16,1,11,1,0,4,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-13,1538,248,20,50,14,103,18,6,5,28,0,19,8,0,2,4,0,0,27,1,5,1,0,21,3,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-14,2271,378,23,42,15,82,15,9,6,34,7,12,4,0,2,2,2,0,28,7,5,1,1,18,5,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-15,2856,382,54,33,13,101,13,11,8,37,2,10,3,6,2,2,0,2,40,12,3,1,0,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-16,2485,373,63,48,21,62,8,20,8,12,7,1,8,2,12,7,1,2,23,7,4,2,0,1,7,1,0,1,2,2,0,0,0,0,3,0,0,0,0,2,2,1,0,0,0,0,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-17,2766,344,37,63,88,44,15,11,21,20,3,4,7,0,10,5,2,2,17,7,6,2,0,1,3,2,0,0,4,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-18,2065,270,39,53,185,38,14,54,3,27,6,2,5,0,10,4,5,3,15,8,11,11,0,2,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-19,1955,266,83,42,169,23,12,9,10,8,2,0,4,0,10,5,4,2,11,2,3,2,0,7,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-20,2054,207,93,78,6,33,13,46,9,44,2,0,3,2,17,2,2,0,7,1,1,1,0,7,1,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-21,2695,305,150,73,12,54,19,13,18,16,4,0,5,7,13,4,3,0,16,6,4,3,0,17,1,1,0,0,2,1,3,2,2,0,0,1,0,0,29,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
2015-12-22,3018,356,87,39,196,52,23,7,10,11,8,21,4,3,6,6,9,0,19,12,16,1,0,5,1,0,0,0,0,0,2,2,3,0,0,1,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2015-12-23,3281,269,47,38,75,40,22,16,12,20,13,1,0,6,5,0,11,0,15,13,3,6,1,7,2,0,0,0,0,3,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-24,2662,221,26,47,12,40,14,6,7,17,9,7,0,2,4,0,6,0,27,8,3,1,1,30,1,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-25,1511,214,75,39,4,40,9,9,6,22,5,8,0,0,2,0,2,0,17,15,0,2,0,17,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-26,4747,261,27,38,3,44,22,2,11,23,3,5,0,2,0,0,2,0,19,13,3,2,0,9,0,0,0,0,0,12,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-27,5596,276,4,36,6,31,23,33,5,8,2,10,0,2,0,0,0,0,13,10,0,2,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-28,4073,274,29,35,12,22,35,2,4,10,6,24,1,0,2,0,0,0,3,12,0,0,0,1,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-29,6857,256,33,36,14,18,26,10,5,8,5,14,2,0,3,1,0,5,1,4,0,0,1,0,2,0,4,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2015-12-30,6826,245,59,48,25,27,17,3,25,4,10,6,10,3,1,0,1,8,1,3,2,0,0,0,7,0,5,0,0,3,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015-12-31,1048,187,42,41,10,12,3,3,14,4,5,0,1,6,0,0,0,3,0,11,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-01,794,154,63,48,10,21,12,2,14,4,7,4,1,1,0,0,14,2,0,3,0,3,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-02,1718,164,44,41,2,13,14,0,25,7,6,2,1,11,0,0,13,0,0,0,3,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-03,3547,165,50,58,7,8,18,1,10,7,8,1,3,11,0,0,24,0,0,2,0,4,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-04,5372,416,48,87,13,14,16,16,19,16,11,0,1,14,4,0,12,0,0,0,9,4,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-05,4707,433,34,69,8,34,12,13,18,15,10,9,2,0,1,0,21,0,0,0,2,21,2,0,1,2,1,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-06,3940,443,33,84,14,47,28,8,42,16,4,11,1,5,4,4,13,1,0,3,0,7,0,0,1,2,1,2,0,9,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-07,4948,728,37,69,15,34,17,6,27,15,3,6,1,2,7,10,7,2,0,4,1,2,4,0,1,1,0,0,1,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-08,5103,313,62,97,41,31,12,4,20,14,9,11,1,2,1,8,4,0,3,0,0,8,0,1,1,0,0,0,5,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-09,3256,187,60,49,77,12,18,5,16,5,8,16,1,0,5,4,15,0,1,2,0,6,9,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2016-01-10,1987,143,78,46,94,20,26,9,22,11,17,28,0,0,7,2,13,9,1,0,1,6,9,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2016-01-11,3583,611,60,61,266,42,43,7,24,7,5,6,7,16,23,11,26,9,1,0,0,6,0,2,1,0,5,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-12,6018,621,70,48,235,34,34,6,23,9,5,7,21,1,7,4,12,6,0,0,2,8,0,1,1,0,2,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-13,5649,763,117,58,32,21,25,11,19,28,3,5,7,2,3,3,16,2,4,0,1,3,4,1,1,1,3,2,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-14,7263,696,91,64,98,19,21,28,28,32,7,3,5,2,2,48,11,5,4,2,2,17,6,0,0,3,1,0,0,1,0,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-15,7525,282,104,82,29,22,18,39,20,17,21,8,10,4,2,24,6,1,2,3,0,5,1,1,0,5,4,0,3,0,7,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-16,3297,127,27,49,41,53,17,11,16,10,11,4,8,1,4,6,18,8,1,4,3,4,0,0,0,3,24,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-17,2804,317,549,18,18,14,26,38,18,7,7,11,13,0,4,2,2,17,4,1,1,2,0,0,0,0,3,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-18,2933,1066,439,68,24,10,125,28,23,10,3,37,12,0,8,1,2,17,2,0,1,4,0,5,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-19,5930,798,41,53,111,29,67,24,14,12,9,68,11,0,2,0,2,12,2,2,0,2,9,5,0,0,1,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-20,3131,602,92,86,105,19,44,21,65,11,27,36,9,7,3,4,0,31,4,0,0,3,13,8,0,0,1,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-21,3396,354,163,115,29,32,62,24,13,6,34,23,11,10,3,9,1,19,6,1,2,1,2,7,2,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-22,2162,330,44,76,25,47,40,18,18,12,18,8,10,3,4,6,16,5,3,10,1,2,0,8,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-23,2155,307,45,64,44,27,25,14,9,22,19,0,12,2,0,3,17,4,1,1,3,1,0,16,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-24,2367,247,73,64,32,37,22,13,8,15,13,3,10,1,0,4,8,5,0,17,0,2,0,10,0,1,0,0,1,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-25,4958,333,67,47,40,48,22,21,13,22,19,5,9,1,0,5,8,5,1,2,0,1,6,11,2,1,0,16,1,0,2,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-26,4866,344,78,69,32,16,9,26,17,13,15,4,11,1,0,4,7,0,1,0,0,2,0,7,2,0,0,7,0,0,1,0,0,1,0,1,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
