title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  SDSC-COMET"
start,end
2016-02-01,2016-07-31
---------
Day,"[1] Number of Jobs Running","[2] Number of Jobs Running","[4] Number of Jobs Running","[10] Number of Jobs Running","[8] Number of Jobs Running","[3] Number of Jobs Running","[6] Number of Jobs Running","[12] Number of Jobs Running","[5] Number of Jobs Running","[16] Number of Jobs Running","[22] Number of Jobs Running","[24] Number of Jobs Running","[20] Number of Jobs Running","[64] Number of Jobs Running","[32] Number of Jobs Running","[60] Number of Jobs Running","[15] Number of Jobs Running","[9] Number of Jobs Running","[25] Number of Jobs Running","[7] Number of Jobs Running","[18] Number of Jobs Running","[30] Number of Jobs Running","[40] Number of Jobs Running","[72] Number of Jobs Running","[11] Number of Jobs Running","[48] Number of Jobs Running","[36] Number of Jobs Running","[50] Number of Jobs Running","[43] Number of Jobs Running","[14] Number of Jobs Running","[13] Number of Jobs Running","[17] Number of Jobs Running","[42] Number of Jobs Running","[70] Number of Jobs Running","[21] Number of Jobs Running","[62] Number of Jobs Running","[35] Number of Jobs Running","[45] Number of Jobs Running","[34] Number of Jobs Running","[28] Number of Jobs Running","[26] Number of Jobs Running","[54] Number of Jobs Running","[46] Number of Jobs Running","[38] Number of Jobs Running","[56] Number of Jobs Running","[19] Number of Jobs Running","[27] Number of Jobs Running","[33] Number of Jobs Running","[65] Number of Jobs Running","[55] Number of Jobs Running","[23] Number of Jobs Running","[31] Number of Jobs Running","[41] Number of Jobs Running","[53] Number of Jobs Running","[44] Number of Jobs Running","[52] Number of Jobs Running","[63] Number of Jobs Running","[49] Number of Jobs Running","[37] Number of Jobs Running","[39] Number of Jobs Running","[61] Number of Jobs Running","[67] Number of Jobs Running","[29] Number of Jobs Running","[47] Number of Jobs Running","[68] Number of Jobs Running","[58] Number of Jobs Running","[66] Number of Jobs Running","[57] Number of Jobs Running","[59] Number of Jobs Running"
2016-04-23,9955,213,30,27,87,176,36,16,12,10,6,5,4,4,11,10,4,3,0,14,1,1,0,1,0,0,0,1,4,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-24,10236,287,88,19,99,70,25,14,7,13,4,7,7,11,16,7,4,24,3,57,0,1,0,0,0,0,2,0,6,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-25,12542,718,99,23,59,46,34,18,13,8,1,14,13,0,2,12,18,27,16,27,0,0,1,1,0,0,0,0,11,0,0,2,0,3,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-26,15153,725,186,48,137,304,39,26,12,30,3,0,13,0,38,24,5,0,22,2,0,0,0,0,0,0,0,0,4,0,0,0,0,6,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-27,15875,714,92,43,73,55,42,20,15,14,3,8,15,0,3,17,1,0,16,1,1,0,0,0,2,0,4,0,6,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-28,15787,645,94,41,71,372,34,36,17,21,1,15,22,0,3,26,1,1,3,1,8,1,0,0,0,0,0,0,4,0,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-29,18135,523,98,23,32,28,38,21,13,34,2,15,19,0,3,21,2,1,3,1,0,3,2,0,0,2,1,0,6,0,0,2,0,1,0,0,2,0,0,1,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2016-04-30,19225,228,67,31,44,59,34,24,28,21,1,4,3,0,4,8,2,1,5,2,0,2,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,1,0,0,2,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2016-05-01,21615,268,43,38,26,32,42,13,24,23,2,2,3,0,4,10,1,4,2,2,3,2,0,3,0,0,3,0,5,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-02,15313,615,76,53,35,35,34,17,21,55,4,2,33,16,2,21,0,5,8,5,1,1,0,1,0,0,5,0,2,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-03,10666,630,79,47,37,30,31,36,23,63,6,10,14,11,4,21,1,6,8,2,3,1,0,1,0,0,7,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-04,8694,590,83,53,73,61,27,50,25,43,5,5,27,26,1,17,10,13,6,12,4,1,0,4,6,0,14,0,2,6,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-05,13458,610,108,122,46,46,30,32,22,26,5,6,22,7,3,12,16,22,2,15,9,1,0,10,12,0,14,0,4,19,12,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-05-06,12532,491,88,45,43,33,24,23,13,14,3,2,13,21,7,14,3,4,5,4,6,0,0,4,0,0,6,0,9,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
2016-05-07,14288,198,50,36,30,24,23,14,13,12,3,1,5,23,8,3,0,1,13,1,2,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2016-05-08,17350,268,89,23,57,26,30,19,13,26,4,4,8,30,5,1,0,1,6,4,1,1,1,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-09,13991,561,96,72,64,90,20,14,7,29,3,9,7,22,2,11,1,1,22,2,1,2,1,0,1,0,2,0,5,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-10,17780,653,120,120,150,35,21,10,5,20,1,2,12,19,1,8,2,3,7,1,2,2,4,0,2,0,1,1,7,0,0,0,4,2,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
2016-05-11,19989,736,60,81,67,31,18,26,15,17,1,13,14,19,0,4,3,5,15,1,1,5,3,0,0,0,0,0,6,4,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-12,20668,779,74,69,42,255,22,21,7,10,7,16,8,5,2,6,1,2,13,1,1,5,4,0,2,0,0,0,4,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-13,20419,705,96,21,41,33,20,13,22,12,6,11,13,0,6,10,2,1,1,2,0,1,4,3,0,0,0,0,1,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2016-05-14,5453,371,86,15,42,237,22,7,23,7,3,8,17,0,0,7,1,9,1,1,0,0,6,0,5,1,0,0,0,4,0,1,1,0,1,0,0,1,0,0,0,2,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2016-05-15,4795,386,261,60,47,279,16,7,56,10,1,9,21,0,0,3,1,2,2,2,1,0,3,0,1,0,4,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-16,5424,801,156,96,63,250,28,9,23,16,3,8,10,5,5,18,0,2,11,1,0,0,4,0,17,1,14,0,3,3,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-17,6874,621,66,26,38,34,32,12,30,11,3,6,5,10,7,14,0,7,9,1,0,0,6,0,17,0,6,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-18,6808,1215,86,50,21,130,19,11,15,20,5,3,4,4,6,29,0,4,9,0,0,0,6,0,12,0,1,2,0,1,0,1,0,4,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-19,9638,1184,22,45,39,73,11,8,11,15,4,4,7,3,12,29,0,6,19,0,0,1,2,0,12,0,5,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-20,4485,748,35,24,57,24,24,11,9,9,7,4,1,6,8,11,0,7,8,0,0,1,1,0,4,0,6,0,0,7,0,1,0,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-21,2835,432,40,37,58,13,22,10,30,8,2,4,0,12,5,9,0,4,4,0,0,1,3,0,8,0,0,1,0,0,0,0,0,1,1,1,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-22,5718,385,39,19,54,13,18,6,18,7,9,5,0,11,6,9,0,3,2,0,0,8,4,0,4,0,0,1,0,2,0,0,0,3,1,2,0,0,19,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-23,5419,669,44,20,66,23,32,6,45,7,2,7,0,5,9,4,0,3,2,0,1,11,1,8,4,0,3,0,0,16,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-24,5538,691,68,14,61,39,31,17,53,11,3,6,2,0,9,13,3,0,2,0,0,6,2,2,3,3,5,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2016-05-25,5463,692,42,23,52,16,25,26,47,18,3,3,2,3,9,10,5,0,2,1,0,7,4,3,9,0,9,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-26,6656,489,42,13,38,12,44,15,26,13,1,2,2,6,4,10,6,3,2,1,0,8,4,4,1,0,4,0,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-27,5953,551,108,29,32,24,46,14,20,13,5,5,10,8,5,6,6,0,2,1,0,6,1,5,0,0,11,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2016-05-28,4076,187,76,17,45,24,43,10,29,31,4,5,13,3,3,5,2,2,0,1,0,3,0,1,0,0,3,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-29,5648,313,46,9,33,14,17,15,83,41,1,2,18,14,22,1,1,0,5,0,0,4,0,1,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-30,3965,575,56,10,17,30,16,13,24,24,0,5,20,9,5,1,1,0,14,0,0,3,0,0,5,0,0,1,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-31,3966,621,76,9,36,48,3,25,38,15,0,6,18,8,3,2,3,2,21,1,0,3,0,2,5,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01,3680,506,145,7,31,29,22,11,38,23,1,4,6,6,13,2,6,0,12,1,0,18,2,2,3,1,6,2,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-02,10117,491,64,14,31,17,13,12,37,13,0,4,9,6,21,7,8,1,8,1,0,11,1,0,3,0,0,2,0,2,0,0,0,0,0,5,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-03,7727,431,66,16,92,17,7,51,13,15,2,3,9,3,4,4,4,2,2,25,1,9,1,0,3,0,0,0,0,1,0,0,0,0,0,6,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-04,6645,157,38,7,24,16,15,43,9,15,2,3,6,2,9,6,3,1,0,39,0,11,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-05,7267,199,180,7,33,15,4,10,9,25,2,3,6,2,12,3,2,0,21,0,1,8,3,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-06,6417,311,39,36,30,86,14,24,19,29,19,14,4,2,4,3,3,0,21,1,1,12,1,1,3,0,1,0,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-07,6020,341,48,76,44,34,5,13,37,10,9,6,5,13,7,2,3,0,5,7,1,8,3,0,5,10,3,0,0,3,11,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-08,4748,322,33,38,31,37,2,9,8,17,4,6,1,6,5,1,4,2,5,5,13,12,2,2,6,0,1,1,0,6,22,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-09,7243,433,51,17,23,18,3,7,6,21,4,5,4,3,5,0,4,1,13,3,18,10,3,7,5,0,1,1,0,3,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-10,4504,488,58,10,51,42,8,64,16,26,3,5,15,4,6,2,8,6,9,33,1,8,2,2,6,0,3,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-11,1475,184,47,1,26,29,9,88,7,12,4,6,5,3,17,0,12,6,11,77,0,7,2,1,4,3,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-12,5215,318,21,11,12,29,14,32,13,17,2,5,1,14,14,0,10,4,5,32,0,5,1,1,7,12,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-13,13498,430,41,33,20,35,18,9,20,14,7,16,0,4,9,0,14,14,5,1,7,3,0,0,19,0,6,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-14,7684,397,58,20,16,82,16,12,14,12,4,12,7,3,0,0,11,12,5,2,1,13,0,8,8,2,9,2,0,1,1,3,0,0,0,0,6,0,0,0,8,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-15,7000,384,49,12,56,43,13,11,11,6,4,4,6,4,0,1,22,4,3,2,1,16,1,2,30,2,1,2,0,1,0,14,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-16,8206,382,34,12,81,53,7,9,10,11,0,17,4,3,0,0,12,0,3,0,0,10,1,1,39,0,2,1,0,1,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-17,8697,333,48,18,81,202,8,9,8,11,0,13,3,5,1,2,16,0,8,3,0,6,1,3,13,0,5,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-18,9686,209,96,6,52,19,4,11,13,11,0,5,4,13,0,3,8,0,4,5,0,7,0,5,3,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-19,944,361,15,1,37,11,0,8,10,15,0,0,0,14,0,1,0,0,0,0,0,2,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-20,3663,395,29,2,35,50,9,11,47,12,0,4,1,2,2,0,0,0,1,1,1,2,0,4,9,0,3,0,2,0,1,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-21,7288,615,55,18,61,37,27,10,76,9,0,0,5,3,6,0,7,0,5,2,2,18,11,2,8,2,6,0,2,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-22,10623,400,38,24,43,41,20,13,44,12,1,9,13,3,1,0,18,0,13,3,0,40,12,0,7,1,3,11,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-23,5448,498,88,32,42,108,18,14,13,29,0,6,10,4,0,6,3,0,15,2,0,12,4,2,6,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-24,5586,387,89,47,67,30,15,14,9,17,0,4,5,6,4,2,3,1,11,1,0,7,0,2,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-25,4152,169,47,5,128,26,9,11,12,13,0,1,6,1,7,2,1,0,0,1,0,11,11,0,0,1,1,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-26,1618,185,35,15,157,17,5,9,8,14,0,1,3,0,10,1,2,1,0,1,0,3,0,3,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2016-06-27,3479,417,45,66,327,108,11,13,17,30,1,0,5,2,7,5,8,9,3,7,2,9,0,1,3,1,1,5,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-28,3307,584,54,34,239,47,14,9,10,19,0,1,7,10,10,6,12,3,3,3,6,11,3,5,3,3,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-29,3590,514,87,21,75,110,12,8,20,8,0,1,9,25,19,0,14,0,18,0,7,19,1,3,3,3,1,17,0,1,0,0,0,2,0,0,3,0,1,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2016-06-30,3585,360,73,33,147,20,67,10,42,17,0,3,15,15,15,11,6,1,9,0,14,6,7,1,3,5,1,10,4,5,6,0,5,0,0,0,3,3,1,2,2,0,0,1,0,2,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2016-07-01,15710,335,93,32,151,169,84,10,48,233,0,56,8,7,10,9,4,0,4,0,5,2,2,5,4,3,3,2,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,4,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-02,19619,174,13,19,224,13,155,5,93,14,0,3,8,2,6,4,3,0,2,0,0,4,0,0,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-03,18573,188,27,27,119,31,217,8,144,18,0,5,15,1,6,4,7,0,2,1,0,3,5,1,7,2,2,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-04,12166,237,44,37,56,18,59,11,43,5,45,2,6,1,5,5,3,0,32,0,0,6,0,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-05,22645,442,126,36,65,29,31,9,30,20,127,73,6,3,5,4,6,8,16,5,1,7,1,2,10,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-06,7925,366,69,21,127,21,18,35,39,22,17,29,1,7,3,6,3,3,10,23,1,11,2,1,5,1,2,7,0,1,2,0,1,0,0,8,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2016-07-07,8842,412,24,29,32,16,35,15,51,11,110,9,4,5,13,11,0,3,10,3,0,3,0,1,2,0,2,3,0,13,1,0,0,0,0,1,0,1,0,0,0,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-08,5697,408,55,153,62,48,27,14,60,24,17,129,3,212,11,10,1,0,7,10,0,1,4,4,2,0,3,0,0,1,2,0,0,0,0,5,0,2,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-09,10249,221,48,76,209,26,35,14,13,18,74,21,8,77,17,4,5,0,7,3,0,6,6,1,0,0,5,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-10,12817,198,22,33,1921,11,780,14,71,7,2,19,9,28,13,11,11,0,15,1,0,4,4,0,0,0,1,0,0,2,0,0,0,0,0,5,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-11,6877,400,49,123,733,39,413,19,12,16,24,7,12,21,17,9,12,0,12,7,0,6,14,0,0,0,5,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-12,8474,416,74,66,26,25,59,11,19,29,63,3,18,14,10,11,8,0,9,2,0,4,10,0,2,0,4,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2016-07-13,10454,462,81,106,185,48,127,10,11,33,66,3,6,19,16,14,1,6,2,3,2,9,4,0,1,1,2,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-14,12521,466,139,42,424,66,91,9,14,23,27,17,17,16,5,16,1,9,2,2,2,13,1,1,0,0,7,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-15,14561,579,97,47,109,48,87,10,21,13,94,20,8,14,4,16,4,1,13,3,0,6,0,4,0,0,4,5,0,0,0,11,0,0,1,0,0,1,0,0,1,0,0,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-16,9023,383,108,726,257,30,222,11,11,28,37,14,6,26,6,1,4,3,10,3,1,4,0,1,3,2,1,7,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-17,10538,214,76,2000,110,30,94,3,40,8,59,3,3,19,4,6,0,1,12,62,0,3,1,1,1,0,0,7,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-18,7577,478,121,501,122,23,47,6,68,20,63,2,7,6,1,24,8,2,4,32,0,2,3,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-19,1251,51,25,1,2,8,47,3,5,3,0,1,3,2,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20,6159,240,99,53,105,26,240,7,22,16,90,16,11,4,2,9,0,9,0,2,0,21,1,31,0,0,1,3,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
