title
"Number of Jobs Submitted: by Node Count"
parameters
"Resource =  TACC-STAMPEDE","Queue =  normal"
start,end
2013-02-01,2013-07-31
---------
Day,"[1] Number of Jobs Submitted","[4] Number of Jobs Submitted","[2] Number of Jobs Submitted","[8] Number of Jobs Submitted","[16] Number of Jobs Submitted","[3] Number of Jobs Submitted","[64] Number of Jobs Submitted","[6] Number of Jobs Submitted","[9] Number of Jobs Submitted","[5] Number of Jobs Submitted","[32] Number of Jobs Submitted","[10] Number of Jobs Submitted","[20] Number of Jobs Submitted","[12] Number of Jobs Submitted","[31] Number of Jobs Submitted","[7] Number of Jobs Submitted","[256] Number of Jobs Submitted","[128] Number of Jobs Submitted","[36] Number of Jobs Submitted","[40] Number of Jobs Submitted","[30] Number of Jobs Submitted","[181] Number of Jobs Submitted","[15] Number of Jobs Submitted","[48] Number of Jobs Submitted","[24] Number of Jobs Submitted","[66] Number of Jobs Submitted","[25] Number of Jobs Submitted","[13] Number of Jobs Submitted","[100] Number of Jobs Submitted","[50] Number of Jobs Submitted","[60] Number of Jobs Submitted","[11] Number of Jobs Submitted","[14] Number of Jobs Submitted","[136] Number of Jobs Submitted","[18] Number of Jobs Submitted","[45] Number of Jobs Submitted","[192] Number of Jobs Submitted","[96] Number of Jobs Submitted","[200] Number of Jobs Submitted","[17] Number of Jobs Submitted","[63] Number of Jobs Submitted","[150] Number of Jobs Submitted","[80] Number of Jobs Submitted","[144] Number of Jobs Submitted","[250] Number of Jobs Submitted","[160] Number of Jobs Submitted","[22] Number of Jobs Submitted","[39] Number of Jobs Submitted","[120] Number of Jobs Submitted","[26] Number of Jobs Submitted","[132] Number of Jobs Submitted","[27] Number of Jobs Submitted","[61] Number of Jobs Submitted","[125] Number of Jobs Submitted","[21] Number of Jobs Submitted","[240] Number of Jobs Submitted","[54] Number of Jobs Submitted","[90] Number of Jobs Submitted","[101] Number of Jobs Submitted","[51] Number of Jobs Submitted","[162] Number of Jobs Submitted","[224] Number of Jobs Submitted","[28] Number of Jobs Submitted","[72] Number of Jobs Submitted","[135] Number of Jobs Submitted","[52] Number of Jobs Submitted","[75] Number of Jobs Submitted","[106] Number of Jobs Submitted","[35] Number of Jobs Submitted","[183] Number of Jobs Submitted","[104] Number of Jobs Submitted","[216] Number of Jobs Submitted","[105] Number of Jobs Submitted","[44] Number of Jobs Submitted","[49] Number of Jobs Submitted","[204] Number of Jobs Submitted","[169] Number of Jobs Submitted","[19] Number of Jobs Submitted","[34] Number of Jobs Submitted","[251] Number of Jobs Submitted","[41] Number of Jobs Submitted","[76] Number of Jobs Submitted","[153] Number of Jobs Submitted","[77] Number of Jobs Submitted","[130] Number of Jobs Submitted","[180] Number of Jobs Submitted","[23] Number of Jobs Submitted","[70] Number of Jobs Submitted","[156] Number of Jobs Submitted","[42] Number of Jobs Submitted","[252] Number of Jobs Submitted","[81] Number of Jobs Submitted","[151] Number of Jobs Submitted","[170] Number of Jobs Submitted","[171] Number of Jobs Submitted","[38] Number of Jobs Submitted","[108] Number of Jobs Submitted","[112] Number of Jobs Submitted","[208] Number of Jobs Submitted","[73] Number of Jobs Submitted","[29] Number of Jobs Submitted","[65] Number of Jobs Submitted","[123] Number of Jobs Submitted","[202] Number of Jobs Submitted","[139] Number of Jobs Submitted","[69] Number of Jobs Submitted","[225] Number of Jobs Submitted","[88] Number of Jobs Submitted","[94] Number of Jobs Submitted","[113] Number of Jobs Submitted","[127] Number of Jobs Submitted","[210] Number of Jobs Submitted","[220] Number of Jobs Submitted","[47] Number of Jobs Submitted","[196] Number of Jobs Submitted","[33] Number of Jobs Submitted","[58] Number of Jobs Submitted","[84] Number of Jobs Submitted","[102] Number of Jobs Submitted","[114] Number of Jobs Submitted","[121] Number of Jobs Submitted","[255] Number of Jobs Submitted","[37] Number of Jobs Submitted","[56] Number of Jobs Submitted","[78] Number of Jobs Submitted","[99] Number of Jobs Submitted","[140] Number of Jobs Submitted","[155] Number of Jobs Submitted","[161] Number of Jobs Submitted","[245] Number of Jobs Submitted","[55] Number of Jobs Submitted","[201] Number of Jobs Submitted","[165] Number of Jobs Submitted","[168] Number of Jobs Submitted","[67] Number of Jobs Submitted","[85] Number of Jobs Submitted","[93] Number of Jobs Submitted","[110] Number of Jobs Submitted","[116] Number of Jobs Submitted","[117] Number of Jobs Submitted","[142] Number of Jobs Submitted","[53] Number of Jobs Submitted","[68] Number of Jobs Submitted","[124] Number of Jobs Submitted","[203] Number of Jobs Submitted","[205] Number of Jobs Submitted","[213] Number of Jobs Submitted","[253] Number of Jobs Submitted","[43] Number of Jobs Submitted","[46] Number of Jobs Submitted","[57] Number of Jobs Submitted","[111] Number of Jobs Submitted","[133] Number of Jobs Submitted","[149] Number of Jobs Submitted","[185] Number of Jobs Submitted","[190] Number of Jobs Submitted","[197] Number of Jobs Submitted","[236] Number of Jobs Submitted","[241] Number of Jobs Submitted","[243] Number of Jobs Submitted","[71] Number of Jobs Submitted","[95] Number of Jobs Submitted","[118] Number of Jobs Submitted","[129] Number of Jobs Submitted","[138] Number of Jobs Submitted","[164] Number of Jobs Submitted","[187] Number of Jobs Submitted","[195] Number of Jobs Submitted","[234] Number of Jobs Submitted","[689] Number of Jobs Submitted","[720] Number of Jobs Submitted","[861] Number of Jobs Submitted","[1024] Number of Jobs Submitted","[91] Number of Jobs Submitted","[188] Number of Jobs Submitted"
2013-02-24,6515,161,151,133,94,8,2,9,6,22,31,20,1,5,0,13,15,2,0,1,2,2,10,0,3,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-25,2556,96,2220,29,79,21,17,7,4,8,10,13,3,7,0,1,14,7,0,2,3,3,1,0,0,0,3,5,4,0,1,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-26,149,10,414,25,14,1,9,2,0,0,3,3,0,1,0,0,1,3,0,0,3,1,0,0,0,0,0,0,3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-27,399,126,740,165,85,29,31,20,4,4,53,79,13,16,0,10,17,10,0,2,8,2,0,0,0,0,2,17,0,0,0,0,1,12,1,1,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-28,375,186,1403,184,170,65,16,16,9,14,13,44,19,8,0,5,10,16,0,0,8,11,15,0,4,0,2,15,0,0,0,0,0,8,1,8,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-01,340,104,298,72,105,47,33,20,10,5,46,38,10,29,0,2,33,6,0,2,7,4,8,0,0,0,21,6,0,0,0,0,6,2,1,2,3,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-03-02,294,112,208,154,32,11,17,10,1,1,41,14,0,5,0,5,15,2,0,2,5,1,1,0,0,0,7,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-03,394,119,164,146,112,12,13,1,0,2,14,55,9,20,0,1,17,7,0,0,6,2,1,0,0,0,12,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-04,452,286,976,266,82,34,22,42,0,10,89,65,23,62,0,1,18,9,0,4,6,5,0,1,0,0,9,5,0,0,2,1,2,14,2,1,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-05,456,145,781,184,90,31,14,37,0,4,81,35,16,19,0,8,4,15,0,6,17,5,1,0,1,0,7,5,0,2,0,4,0,8,1,3,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-06,445,217,832,177,45,53,26,35,10,2,22,24,9,25,0,17,32,13,1,3,2,2,4,2,1,0,6,8,0,0,0,2,5,11,1,0,0,9,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-07,2540,234,749,450,96,43,23,30,3,27,4,4,11,32,0,17,5,16,1,1,3,2,8,0,1,0,9,8,0,0,0,2,2,19,1,0,0,0,0,1,0,0,4,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-08,4336,222,415,162,135,43,39,46,35,23,15,21,14,25,0,50,7,7,5,7,3,0,6,2,0,0,3,4,0,2,0,15,4,11,14,0,3,1,0,3,0,0,1,0,0,1,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-09,7269,59,293,88,40,6,1,5,0,12,10,2,7,12,0,1,1,0,3,6,10,0,1,0,1,0,4,9,0,1,0,1,0,21,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-10,6842,49,147,74,73,7,27,3,0,10,7,7,9,9,0,0,3,16,5,2,11,0,9,0,5,0,3,7,0,0,0,0,5,19,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-11,3884,143,1227,177,134,62,14,41,2,2,26,20,19,28,0,5,5,5,0,3,37,0,9,1,1,0,4,14,0,0,0,1,0,8,7,0,1,2,0,1,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-12,1542,125,1600,162,84,27,9,23,0,1,36,14,10,42,0,3,1,5,1,1,50,0,16,0,3,0,1,11,0,2,0,0,3,24,11,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-13,1364,98,192,351,107,75,10,35,7,6,48,23,19,30,0,7,2,5,7,40,40,1,5,1,3,0,1,2,1,5,6,14,5,44,1,0,10,1,0,13,0,0,0,0,0,5,1,8,0,0,0,0,0,0,0,1,1,0,0,0,15,1,15,2,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-14,768,161,221,294,90,161,35,22,7,1,30,17,11,12,0,7,13,22,0,5,16,8,0,0,0,0,0,0,0,7,27,1,6,34,1,0,2,3,0,0,0,0,0,0,0,2,1,3,0,0,0,5,0,0,0,0,2,1,0,0,6,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-15,673,205,183,93,76,103,38,15,1,19,14,2,15,9,0,0,4,16,0,27,16,0,0,1,3,0,2,0,0,6,5,0,8,0,1,0,0,4,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,4,0,0,0,0,1,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-16,355,132,131,52,56,54,38,14,0,7,12,13,41,13,0,3,5,25,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-17,310,101,184,461,79,13,38,25,0,7,2,5,38,24,0,3,4,2,2,26,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-18,323,73,113,150,24,7,29,12,0,13,13,8,33,9,0,7,6,7,6,0,2,3,6,0,2,0,0,1,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-19,168,51,20,69,37,5,19,13,0,0,12,0,10,5,0,0,1,2,8,0,0,1,2,0,0,0,0,6,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,19,0,0,0,14,0,0,0,4,0,0,0,0,13,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-20,799,202,584,96,93,67,18,54,4,26,35,10,29,19,0,5,2,9,11,7,3,4,23,7,6,0,0,2,3,4,9,6,1,0,2,1,0,0,0,3,2,6,8,10,2,28,0,0,2,0,2,0,0,0,0,0,1,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,2,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-21,732,281,358,220,94,173,28,54,4,5,39,17,3,18,0,10,3,4,5,8,3,9,9,2,1,0,0,2,5,0,0,6,0,0,20,2,0,0,1,4,0,2,0,2,1,0,0,11,0,3,5,0,0,0,0,0,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-22,1138,838,376,107,129,231,30,49,1,5,44,5,35,14,0,4,8,7,16,6,7,2,9,0,6,0,0,3,10,1,1,5,0,0,7,0,0,2,0,0,1,0,0,19,2,0,0,0,0,0,11,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-23,1140,143,514,99,139,10,22,10,6,0,25,5,13,21,0,1,43,15,0,0,1,4,1,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-24,803,143,258,216,185,59,14,39,4,0,27,0,0,11,0,13,28,7,5,0,1,8,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,9,2,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-25,4900,214,202,149,76,161,27,77,7,3,26,2,7,19,0,3,11,15,13,35,5,6,1,1,2,0,0,1,0,5,0,2,1,0,1,0,0,0,0,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-26,712,231,322,275,60,102,11,102,1,5,19,6,12,7,0,5,4,25,9,84,0,4,1,1,5,0,0,1,4,1,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
