title
"Number of Jobs Submitted: by Node Count"
parameters
"Resource =  TACC-STAMPEDE","Queue =  normal"
start,end
2014-08-01,2015-01-31
---------
Day,"[1] Number of Jobs Submitted","[5] Number of Jobs Submitted","[2] Number of Jobs Submitted","[4] Number of Jobs Submitted","[8] Number of Jobs Submitted","[16] Number of Jobs Submitted","[3] Number of Jobs Submitted","[74] Number of Jobs Submitted","[24] Number of Jobs Submitted","[32] Number of Jobs Submitted","[64] Number of Jobs Submitted","[6] Number of Jobs Submitted","[9] Number of Jobs Submitted","[10] Number of Jobs Submitted","[30] Number of Jobs Submitted","[12] Number of Jobs Submitted","[256] Number of Jobs Submitted","[7] Number of Jobs Submitted","[60] Number of Jobs Submitted","[128] Number of Jobs Submitted","[20] Number of Jobs Submitted","[13] Number of Jobs Submitted","[14] Number of Jobs Submitted","[25] Number of Jobs Submitted","[18] Number of Jobs Submitted","[15] Number of Jobs Submitted","[17] Number of Jobs Submitted","[80] Number of Jobs Submitted","[11] Number of Jobs Submitted","[48] Number of Jobs Submitted","[40] Number of Jobs Submitted","[23] Number of Jobs Submitted","[240] Number of Jobs Submitted","[36] Number of Jobs Submitted","[100] Number of Jobs Submitted","[21] Number of Jobs Submitted","[120] Number of Jobs Submitted","[50] Number of Jobs Submitted","[82] Number of Jobs Submitted","[250] Number of Jobs Submitted","[19] Number of Jobs Submitted","[63] Number of Jobs Submitted","[96] Number of Jobs Submitted","[57] Number of Jobs Submitted","[77] Number of Jobs Submitted","[216] Number of Jobs Submitted","[33] Number of Jobs Submitted","[121] Number of Jobs Submitted","[157] Number of Jobs Submitted","[22] Number of Jobs Submitted","[168] Number of Jobs Submitted","[38] Number of Jobs Submitted","[90] Number of Jobs Submitted","[34] Number of Jobs Submitted","[225] Number of Jobs Submitted","[93] Number of Jobs Submitted","[70] Number of Jobs Submitted","[68] Number of Jobs Submitted","[27] Number of Jobs Submitted","[160] Number of Jobs Submitted","[65] Number of Jobs Submitted","[98] Number of Jobs Submitted","[75] Number of Jobs Submitted","[150] Number of Jobs Submitted","[28] Number of Jobs Submitted","[62] Number of Jobs Submitted","[61] Number of Jobs Submitted","[53] Number of Jobs Submitted","[45] Number of Jobs Submitted","[52] Number of Jobs Submitted","[102] Number of Jobs Submitted","[29] Number of Jobs Submitted","[127] Number of Jobs Submitted","[31] Number of Jobs Submitted","[192] Number of Jobs Submitted","[43] Number of Jobs Submitted","[72] Number of Jobs Submitted","[108] Number of Jobs Submitted","[54] Number of Jobs Submitted","[140] Number of Jobs Submitted","[26] Number of Jobs Submitted","[41] Number of Jobs Submitted","[125] Number of Jobs Submitted","[42] Number of Jobs Submitted","[55] Number of Jobs Submitted","[76] Number of Jobs Submitted","[147] Number of Jobs Submitted","[129] Number of Jobs Submitted","[126] Number of Jobs Submitted","[234] Number of Jobs Submitted","[252] Number of Jobs Submitted","[35] Number of Jobs Submitted","[46] Number of Jobs Submitted","[144] Number of Jobs Submitted","[151] Number of Jobs Submitted","[118] Number of Jobs Submitted","[113] Number of Jobs Submitted","[49] Number of Jobs Submitted","[56] Number of Jobs Submitted","[37] Number of Jobs Submitted","[44] Number of Jobs Submitted","[135] Number of Jobs Submitted","[179] Number of Jobs Submitted","[39] Number of Jobs Submitted","[47] Number of Jobs Submitted","[116] Number of Jobs Submitted","[224] Number of Jobs Submitted","[79] Number of Jobs Submitted","[200] Number of Jobs Submitted","[81] Number of Jobs Submitted","[94] Number of Jobs Submitted","[85] Number of Jobs Submitted","[71] Number of Jobs Submitted","[188] Number of Jobs Submitted","[78] Number of Jobs Submitted","[153] Number of Jobs Submitted","[51] Number of Jobs Submitted","[112] Number of Jobs Submitted","[138] Number of Jobs Submitted","[101] Number of Jobs Submitted","[133] Number of Jobs Submitted","[176] Number of Jobs Submitted","[512] Number of Jobs Submitted","[255] Number of Jobs Submitted","[84] Number of Jobs Submitted","[114] Number of Jobs Submitted","[154] Number of Jobs Submitted","[59] Number of Jobs Submitted","[123] Number of Jobs Submitted","[132] Number of Jobs Submitted","[172] Number of Jobs Submitted","[203] Number of Jobs Submitted","[207] Number of Jobs Submitted","[208] Number of Jobs Submitted","[86] Number of Jobs Submitted","[92] Number of Jobs Submitted","[95] Number of Jobs Submitted","[117] Number of Jobs Submitted","[119] Number of Jobs Submitted","[122] Number of Jobs Submitted","[124] Number of Jobs Submitted","[210] Number of Jobs Submitted","[89] Number of Jobs Submitted","[105] Number of Jobs Submitted","[107] Number of Jobs Submitted","[137] Number of Jobs Submitted","[152] Number of Jobs Submitted","[155] Number of Jobs Submitted","[162] Number of Jobs Submitted","[180] Number of Jobs Submitted","[187] Number of Jobs Submitted","[197] Number of Jobs Submitted","[204] Number of Jobs Submitted","[205] Number of Jobs Submitted","[220] Number of Jobs Submitted","[235] Number of Jobs Submitted","[66] Number of Jobs Submitted","[69] Number of Jobs Submitted","[109] Number of Jobs Submitted","[183] Number of Jobs Submitted","[211] Number of Jobs Submitted","[251] Number of Jobs Submitted","[83] Number of Jobs Submitted","[88] Number of Jobs Submitted","[99] Number of Jobs Submitted","[103] Number of Jobs Submitted","[143] Number of Jobs Submitted","[169] Number of Jobs Submitted","[171] Number of Jobs Submitted","[175] Number of Jobs Submitted","[184] Number of Jobs Submitted","[189] Number of Jobs Submitted","[236] Number of Jobs Submitted","[244] Number of Jobs Submitted","[248] Number of Jobs Submitted","[358] Number of Jobs Submitted","[58] Number of Jobs Submitted","[104] Number of Jobs Submitted"
2014-08-24,2481,1882,708,118,205,69,50,0,13,50,13,16,48,64,62,4,1,4,43,53,7,27,11,4,0,0,3,0,0,0,1,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-25,964,1981,493,323,565,168,97,0,34,44,58,19,22,68,49,13,1,6,75,23,5,11,4,1,1,9,0,6,1,0,1,5,22,0,0,6,2,1,0,0,0,1,0,0,3,0,3,0,0,0,0,0,0,1,1,8,0,0,3,0,0,0,1,0,4,0,0,0,0,9,0,5,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-26,1044,1528,261,267,307,244,72,1876,16,65,55,47,19,46,60,9,12,5,47,17,12,8,2,0,5,7,16,1,7,5,0,2,8,2,0,0,0,0,0,0,0,0,0,4,7,0,6,0,2,0,0,0,0,2,0,0,7,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-27,908,907,1284,320,124,127,81,1687,11,34,22,79,27,32,77,13,1,7,52,6,13,9,2,1,5,2,0,10,0,9,0,3,6,0,0,0,1,1,0,0,1,0,0,6,0,0,0,0,0,4,0,0,0,0,10,1,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-28,1093,842,487,245,196,137,91,0,15,54,35,13,0,27,53,4,642,0,51,27,4,4,5,3,3,2,3,9,5,5,0,1,3,2,1,0,1,0,0,3,0,0,2,2,3,0,7,0,8,1,0,0,0,1,2,11,8,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-29,763,736,211,165,467,110,74,0,4,32,18,5,2,33,68,13,17,2,43,7,13,11,3,3,2,4,3,6,0,3,2,1,3,91,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,2,0,7,0,0,0,0,0,0,6,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-30,2078,1967,143,51,31,50,77,0,8,29,9,5,18,51,78,10,0,1,31,3,2,1,0,3,0,14,0,0,0,2,0,1,0,0,0,14,1,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-31,2367,2256,346,122,946,82,58,0,12,50,6,5,1,67,84,5,5,1,27,5,5,4,5,2,1,2,2,1,0,1,7,0,0,38,0,10,1,9,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-01,1604,3108,337,140,156,130,70,0,5,19,26,20,2,107,162,7,22,0,9,14,16,5,5,2,3,2,0,1,3,2,4,1,1,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2014-09-02,1079,592,292,229,31,107,56,0,7,23,19,40,8,38,28,8,17,0,13,16,10,13,2,5,10,0,0,1,2,1,6,6,4,2,0,7,0,4,0,0,0,0,0,1,0,0,1,0,3,0,0,0,3,1,0,3,0,0,0,1,1,0,0,3,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-03,1074,2088,454,375,259,149,65,0,25,57,20,73,3,72,134,14,28,7,58,41,38,24,5,10,2,0,6,2,0,2,1,2,12,5,0,11,0,1,0,0,0,3,0,1,0,0,0,0,12,6,0,0,2,3,0,0,0,0,0,1,0,0,0,5,2,2,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-09-04,1026,2505,356,367,104,107,113,0,11,24,26,61,18,69,37,29,17,4,30,11,18,3,1,9,0,0,0,1,0,2,2,4,0,4,0,2,0,9,0,0,0,2,0,1,0,0,0,0,4,8,0,0,1,3,0,3,0,0,0,1,0,0,0,6,0,2,0,2,0,4,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-05,950,1413,361,273,148,90,39,0,1,39,74,43,11,41,23,16,7,4,28,66,12,0,1,8,1,1,1,2,0,2,1,0,1,0,0,0,0,3,0,1,0,0,1,2,0,1,1,0,6,1,0,0,0,1,0,5,0,4,1,0,4,0,0,8,0,0,0,0,0,3,0,0,0,0,0,1,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-09-06,799,1258,347,211,112,48,21,0,2,28,35,11,15,33,57,3,13,1,32,15,19,1,0,3,0,0,0,0,0,0,0,3,0,5,0,0,0,1,0,0,0,0,0,4,0,0,0,0,6,6,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-07,2861,1335,238,167,96,31,26,0,1,27,38,11,30,35,67,4,6,0,9,7,22,0,3,8,0,0,1,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-08,2014,8,207,210,104,49,13,0,7,43,15,2,10,9,66,6,5,1,19,4,16,5,1,27,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-09,412,2,27,21,56,15,6,0,1,4,9,16,0,4,63,4,2,16,18,2,10,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-10,1716,104,228,360,207,112,83,0,13,36,47,41,2,45,124,15,21,24,47,7,20,11,2,8,5,4,1,0,0,0,1,0,0,0,0,11,0,3,0,0,4,0,1,2,0,0,0,0,1,4,0,0,2,0,2,22,0,15,0,1,0,0,0,3,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-11,1441,307,267,372,112,129,77,0,12,49,38,51,1,106,48,37,8,45,32,10,15,11,0,12,6,13,2,0,0,0,0,0,0,0,0,1,0,1,0,0,5,0,0,1,0,0,3,0,1,1,0,1,1,0,0,1,0,9,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-12,1094,1420,347,305,172,170,97,0,7,30,47,15,34,39,73,11,2,7,19,7,25,13,5,22,8,8,5,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6,0,1,0,0,0,0,7,0,5,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-13,924,1530,357,239,271,73,78,0,3,24,47,16,31,27,82,5,1,2,28,14,18,2,7,4,2,5,0,0,0,1,6,0,0,0,0,0,0,1,0,0,1,0,0,14,0,0,6,0,1,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-14,882,233,608,208,123,80,43,0,0,28,24,19,39,31,62,15,13,3,29,14,19,4,11,24,3,16,1,3,0,2,7,3,0,0,0,0,0,1,1,0,1,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-15,1058,413,570,272,261,120,36,0,32,40,46,33,48,18,3,27,7,6,13,12,22,2,9,23,6,11,1,1,0,0,5,1,0,0,0,0,0,6,0,5,1,1,1,2,2,0,6,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-16,582,499,190,141,87,107,29,0,10,34,61,20,6,13,7,13,15,3,23,31,14,0,3,5,6,3,1,3,0,0,1,2,0,0,0,0,0,7,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,7,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-17,686,106,154,145,121,42,111,0,3,18,31,10,2,16,1,6,3,7,2,8,11,1,1,2,4,0,0,10,0,1,2,0,0,0,0,0,0,2,9,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,1,2,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-18,1114,84,201,190,169,51,15,0,6,34,23,8,2,9,0,33,0,53,7,3,6,1,2,1,3,2,1,0,0,0,6,0,0,0,0,1,1,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-19,1195,340,231,295,57,82,27,1,7,19,23,23,17,42,3,4,7,4,9,8,4,0,1,6,0,3,2,13,0,0,3,0,0,0,0,1,0,3,12,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,2,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-20,1621,264,250,293,137,70,18,0,7,15,20,23,6,5,8,5,3,2,35,4,8,1,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-21,922,1338,723,267,146,75,8,0,11,28,61,11,7,43,2,10,0,0,62,8,2,2,11,12,2,3,1,0,0,2,0,0,0,0,0,0,3,5,0,0,1,0,0,0,3,2,11,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-22,1210,1020,473,307,266,138,18,2,10,59,65,45,3,23,4,5,7,27,43,27,19,1,6,16,1,4,5,4,0,3,8,1,0,1,8,9,0,0,0,0,2,0,0,1,0,0,6,0,1,0,0,0,0,0,0,3,0,1,2,2,7,0,1,0,1,0,0,7,2,0,0,0,1,22,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
