title
"CPU Hours: Total: by Resource"
parameters

start,end
2013-02-01,2013-07-31
---------
Day,"[NICS KRAKEN] CPU Hours: Total","[TACC STAMPEDE] CPU Hours: Total","[SDSC GORDON] CPU Hours: Total","[SDSC TRESTLES] CPU Hours: Total","[TACC LONESTAR4] CPU Hours: Total","[PURDUE STEELE] CPU Hours: Total","[PSC BLACKLIGHT] CPU Hours: Total","[GATECH KEENELAND] CPU Hours: Total","[TACC RANGER] CPU Hours: Total","[NICS NAUTILUS] CPU Hours: Total","[PURDUE CONDOR] CPU Hours: Total","[TACC LONGHORN] CPU Hours: Total","[GATECH KIDS] CPU Hours: Total"
2013-07-20,2489666.2463,1653994.9951,278378.8356,137495.8232,193654.1035,62941.8960,66276.5777,45064.2268,0,12235.9310,3293.8721,875.5623,146.8667
2013-07-21,2419201.0264,1244600.2080,240969.0907,126380.5512,319521.2269,66774.7283,55460.8620,68520.2088,0,4653.1245,9155.3562,806.8266,287.9450
2013-07-22,2545909.4400,788282.9202,236679.9110,160342.3447,166980.1562,65216.6595,58036.8664,70479.3824,0,14692.1244,3521.6100,2404.8355,171.2900
2013-07-23,2635580.9141,339252.6854,278645.5442,143383.5693,220742.6664,67280.2178,58103.4357,29431.6134,0,14373.6333,306.3805,5293.6222,54.2142
2013-07-24,2045788.3701,1777795.9417,284168.6089,157376.2770,193140.4331,64659.5995,60961.3023,21358.9245,0,8329.3310,282.8045,4450.3045,80.4750
2013-07-25,1713015.5497,1652775.8793,239647.7331,225241.7897,187957.8763,64045.2777,63165.3378,65314.4798,0,10402.3134,287.9667,2645.5866,205.7708
2013-07-26,2596143.9504,1616404.4447,265262.6530,206776.0456,199616.2635,64486.1391,61007.7023,76850.2757,0,17161.2711,318.8366,1781.2020,288.3776
2013-07-27,2575411.7297,1244552.9297,264269.1401,132783.2099,163346.3267,58831.2922,58383.9912,94448.4447,0,14713.5068,195.3767,1295.0911,269.2450
2013-07-28,2186822.8334,1211444.1287,184407.6490,93404.9794,156519.7335,61983.0435,46616.4575,85899.0309,0,2099.2333,299.4878,1858.1133,269.4192
2013-07-29,2392618.7368,1374288.0501,213834.2335,155712.5145,226917.1159,60434.0353,46240.8046,82947.2133,0,5293.8044,287.2044,1676.9932,89.3825
2013-07-30,2545024.7934,604563.3566,278154.8753,193778.2114,187142.9092,60962.0779,56103.4221,16848.7599,0,8424.8734,287.0475,3356.9267,0
2013-07-31,2531249.6264,1510963.2792,273155.1042,186672.5503,152221.1367,68703.2943,57154.9062,59550.2179,0,15774.0067,325.7925,2346.7044,0
---------
