Day,[NICS KRAKEN] CPU Hours: Total,[TACC RANGER] CPU Hours: Total,[SDSC GORDON] CPU Hours: Total,[SDSC TRESTLES] CPU Hours: Total,[TACC LONESTAR4] CPU Hours: Total,[PURDUE STEELE] CPU Hours: Total,[TACC STAMPEDE] CPU Hours: Total,[PSC BLACKLIGHT] CPU Hours: Total,[GATECH KEENELAND] CPU Hours: Total,[TACC LONGHORN] CPU Hours: Total,[NICS NAUTILUS] CPU Hours: Total,[PURDUE CONDOR] CPU Hours: Total,[NCSA FORGE] CPU Hours: Total,[TACC SPUR] CPU Hours: Total
2013-01-08,2623187.0297,1002213.9199,168513.9598,83460.3780,118505.6834,77947.9123,72974.9292,45191.8158,85212.9155,4595.0245,12121.8091,109.8983,0,0
2013-01-09,2156008.2134,1109801.7206,133379.2534,109794.5844,129732.3732,74960.8545,306506.3421,48414.4756,84910.2307,4978.2800,20418.8421,809.8288,0,0
2013-01-10,1678395.7964,1135915.8667,191875.5687,134712.8210,168039.0701,93238.8673,352946.1417,44191.5735,83045.3469,5885.1735,11523.4155,1386.6674,0,0
2013-01-11,2624783.6397,1075170.7019,171202.2797,176753.4498,185585.6166,94344.9467,492480.2925,46578.9533,83643.4046,7867.6333,15809.4002,196.3957,0,0
2013-01-12,2592797.8664,848907.1777,165711.7156,167359.2476,214499.1700,94361.8793,857546.3417,50013.6822,72953.9910,8243.3067,14182.3490,287.0589,0,0
2013-01-13,2541405.4166,526471.8003,92499.1822,165034.1175,109791.5933,85831.0101,668296.2451,52325.5334,67987.1423,9177.7067,13380.9267,295.2878,0,0
2013-01-14,2545531.5272,298918.2577,191146.3688,147442.9175,108705.0468,88744.6729,140587.9508,52235.8533,31080.3778,10576.7089,19473.4179,352.0100,0,0
2013-01-15,2460688.5497,602354.1023,197782.8845,155982.9591,148122.6929,86139.0846,576309.3782,60548.9221,34630.5868,6206.1402,8555.9179,446.0211,0,0
2013-01-16,2590617.1771,890623.8749,190489.4050,187068.6074,158395.1764,83481.3092,1468047.6450,53139.6603,82633.5291,13442.2131,3975.1090,320.2109,0,0
2013-01-17,2624692.7334,1065246.3594,233949.3776,186340.1070,202963.5463,89713.2870,1467655.9509,22474.3759,82876.1243,9965.1956,2853.6312,1138.7323,0,0
2013-01-18,2630429.3036,1139437.3458,259235.6137,217058.4457,199304.1701,88621.6657,1258709.7245,74835.2978,91744.0176,4577.2223,1796.7777,957.8271,0,0
2013-01-19,2641985.7501,1146524.4797,239441.9693,174808.2623,175685.7302,88686.3277,902012.2440,65665.0179,93486.8178,1269.7066,1103.1466,563.7669,0,0
2013-01-20,2633761.9495,1269749.5644,162040.4712,134997.6801,131439.7966,91241.4037,471002.6046,55667.4646,87915.9687,1552.9266,374.0534,369.0845,0,0
2013-01-21,1540717.2406,1180045.3100,90624.0244,164557.2150,76153.7734,90458.4633,131053.9604,49398.8735,49522.5776,5329.8910,2399.2268,467.1815,0,0
2013-01-22,2616043.1163,1278411.7514,147927.0851,193117.5036,59666.8797,81489.0128,0,65054.1420,59812.4664,5894.8512,11065.2916,121.6906,0,0
2013-01-23,2304638.7797,1303302.7422,183775.0666,223767.0917,161723.2937,83177.9070,166441.3154,53427.7642,92643.0843,5042.3621,5225.8222,1872.3523,0,0
2013-01-24,2131268.7034,1300980.0358,183683.8397,219570.7413,159210.1305,54086.8311,747936.5282,68075.2002,91879.4620,5438.2865,2827.9955,763.7235,0,0
2013-01-25,2654559.0970,1237239.4537,185538.3115,209558.5155,166507.9134,83897.4519,799511.1514,71928.2245,87249.1112,3699.6309,2357.1465,3372.0341,0,0
2013-01-26,2630892.4301,1124880.7240,204625.8176,198796.2048,140968.5203,55457.3241,441327.2711,67583.2757,79838.2000,2285.0445,1801.0333,398.6411,0,0
2013-01-27,2653419.7830,786467.2711,181417.8183,181170.1649,113469.7132,51389.1720,460933.6130,70040.6003,83716.4000,3475.9599,2542.2755,82.4153,0,0
2013-01-28,2670660.8735,1052206.1863,224969.6913,176524.7957,109156.9202,45700.8738,515601.0449,67457.1383,83018.5113,7355.1065,6003.5488,232.5417,0,0
2013-01-29,2640523.5069,1236866.3415,232567.8910,182512.7806,148264.2564,79281.1076,417530.7823,66116.5311,88025.5999,4610.2733,9777.5599,712.2022,0,0
2013-01-30,2344367.7662,1163792.7025,201735.3179,148942.9816,104493.9473,93265.9547,1130941.7642,75182.2954,77534.5377,1987.7556,7175.9466,1182.2323,0,0
2013-01-31,2139191.5833,1256190.1474,229423.9712,173079.7977,144613.4761,94769.6430,933588.4889,73996.3712,85349.1424,3048.0021,6079.3155,2407.3654,0,0
