,[CCT LSU SUPERMIC] Number of Jobs Started,[GATECH KEENELAND] Number of Jobs Started,[GATECH KIDS] Number of Jobs Started,[IU BIGRED*] Number of Jobs Started,[LONI QUEENBEE] Number of Jobs Started,[NCAR FROST] Number of Jobs Started,[NCSA ABE] Number of Jobs Started,[NCSA COBALT] Number of Jobs Started,[NCSA DTF] Number of Jobs Started,[NCSA EMBER*] Number of Jobs Started,[NCSA FORGE] Number of Jobs Started,[NCSA LINCOLN] Number of Jobs Started,[NICS ATHENA] Number of Jobs Started,[NICS DARTER] Number of Jobs Started,[NICS KRAKEN] Number of Jobs Started,[NICS NAUTILUS] Number of Jobs Started,[ORNL NSTG] Number of Jobs Started,[OSG] Number of Jobs Started,[PSC BIGBEN] Number of Jobs Started,[PSC BLACKLIGHT] Number of Jobs Started,[PSC BRIDGES LARGE] Number of Jobs Started,[PSC BRIDGES] Number of Jobs Started,[PSC GREENFIELD] Number of Jobs Started,[PSC POPLE] Number of Jobs Started,[PURDUE CONDOR] Number of Jobs Started,[PURDUE STEELE] Number of Jobs Started,[SDSC COMET] Number of Jobs Started,[SDSC DASH] Number of Jobs Started,[SDSC GORDON] Number of Jobs Started,[SDSC TRESTLES] Number of Jobs Started,[Stanford XSTREAM] Number of Jobs Started,[TACC LONESTAR4] Number of Jobs Started,[TACC LONESTAR] Number of Jobs Started,[TACC LONGHORN] Number of Jobs Started,[TACC MAVERICK2] Number of Jobs Started,[TACC RANGER] Number of Jobs Started,[TACC SPUR] Number of Jobs Started,[TACC STAMPEDE] Number of Jobs Started
2011-02-14,,,,18.0,268.0,132.0,2750.0,,,152.0,,80.0,238.0,,3.0,354.0,0.0,,,111.0,,,,223.0,6288.0,4522.0,,25.0,,79.0,,105.0,,95.0,,892.0,3.0,
2011-02-15,,,,26.0,355.0,199.0,2560.0,,,186.0,,76.0,127.0,,594.0,0.0,0.0,,,402.0,,,,246.0,5734.0,4032.0,,5.0,,90.0,,103.0,,87.0,,914.0,2.0,
2011-02-16,,,,28.0,208.0,503.0,1539.0,,,188.0,,124.0,97.0,,1329.0,2.0,0.0,,,633.0,,,,493.0,274.0,9195.0,,11.0,,80.0,,406.0,,80.0,,1292.0,5.0,
2011-02-17,,,,53.0,319.0,992.0,1400.0,,,1139.0,,166.0,196.0,,2828.0,1.0,0.0,,,460.0,,,,277.0,691.0,3105.0,,13.0,,22.0,,408.0,,90.0,,1164.0,3.0,
2011-02-18,,,,98.0,325.0,31.0,1733.0,,,490.0,,121.0,98.0,,2073.0,14.0,0.0,,,150.0,,,,169.0,4048.0,9233.0,,9.0,,44.0,,165.0,,70.0,,1019.0,10.0,
2011-02-19,,,,59.0,131.0,50.0,4472.0,,,263.0,,54.0,178.0,,1870.0,16.0,0.0,,,86.0,,,,99.0,1406.0,7904.0,,5.0,,32.0,,185.0,,75.0,,1295.0,11.0,
2011-02-20,,,,33.0,190.0,41.0,1445.0,,,143.0,,34.0,108.0,,2409.0,16.0,0.0,,,36.0,,,,205.0,3314.0,7543.0,,12.0,,17.0,,151.0,,62.0,,1485.0,13.0,
2011-02-21,,,,58.0,211.0,41.0,1179.0,,,659.0,,86.0,137.0,,2138.0,40.0,0.0,,,55.0,,,,173.0,310.0,8026.0,,16.0,,29.0,,224.0,,67.0,,875.0,6.0,
2011-02-22,,,,65.0,218.0,44.0,2045.0,,,2562.0,,151.0,323.0,,3375.0,9.0,0.0,,,96.0,,,,229.0,194.0,11820.0,,2.0,,21.0,,124.0,,50.0,,1328.0,13.0,
2011-02-23,,,,5.0,657.0,40.0,3170.0,,,328.0,,125.0,798.0,,591.0,57.0,0.0,,,24.0,,,,158.0,1499.0,15207.0,,4.0,,83.0,,404.0,,48.0,,1084.0,0.0,
2011-02-24,,,,73.0,471.0,63.0,1709.0,,,371.0,,156.0,3862.0,,1172.0,49.0,0.0,,,79.0,,,,119.0,920.0,4845.0,,2.0,,120.0,,989.0,,33.0,,1454.0,2.0,
2011-02-25,,,,4.0,117.0,40.0,1575.0,,,537.0,,46.0,2553.0,,2154.0,17.0,0.0,,,50.0,,,,151.0,3297.0,2378.0,,2.0,,101.0,,568.0,,46.0,,1085.0,0.0,
2011-02-26,,,,4.0,218.0,29.0,1733.0,,,248.0,,26.0,614.0,,2809.0,9.0,0.0,,,53.0,,,,169.0,1562.0,1472.0,,2.0,,55.0,,341.0,,25.0,,991.0,0.0,
2011-02-27,,,,2.0,105.0,29.0,1057.0,,,173.0,,34.0,162.0,,1654.0,12.0,0.0,,,93.0,,,,135.0,656.0,1109.0,,3.0,,103.0,,318.0,,21.0,,1436.0,3.0,
2011-02-28,,,,77.0,357.0,48.0,1428.0,,,798.0,,93.0,35.0,,1091.0,31.0,0.0,,,151.0,,,,244.0,1166.0,1786.0,,2.0,,222.0,,505.0,,27.0,,995.0,2.0,
2011-03-01,,,,168.0,350.0,40.0,1750.0,,,251.0,,53.0,128.0,,7698.0,51.0,0.0,,,204.0,,,,189.0,1741.0,21559.0,,10.0,,217.0,,380.0,,22.0,,1012.0,4.0,
2011-03-02,,,,26.0,412.0,112.0,3354.0,,,599.0,,96.0,152.0,,5161.0,22.0,0.0,,,15.0,,,,143.0,1447.0,46424.0,,19.0,,109.0,,836.0,,31.0,,1158.0,10.0,
2011-03-03,,,,45.0,227.0,128.0,749.0,,,762.0,,47.0,97.0,,4317.0,16.0,0.0,,,47.0,,,,121.0,1028.0,35194.0,,5.0,,294.0,,983.0,,47.0,,684.0,1.0,
2011-03-04,,,,26.0,92.0,137.0,2067.0,,,374.0,,65.0,111.0,,2371.0,51.0,0.0,,,72.0,,,,126.0,1445.0,35222.0,,1.0,,300.0,,398.0,,36.0,,948.0,2.0,
2011-03-05,,,,53.0,301.0,207.0,3024.0,,,329.0,,22.0,73.0,,2248.0,3.0,0.0,,,53.0,,,,71.0,226.0,19126.0,,3.0,,72.0,,167.0,,26.0,,745.0,1.0,
2011-03-06,,,,24.0,832.0,213.0,2994.0,,,603.0,,20.0,103.0,,5276.0,19.0,0.0,,,51.0,,,,65.0,1024.0,65027.0,,2.0,,51.0,,183.0,,42.0,,1490.0,2.0,
2011-03-07,,,,42.0,689.0,134.0,1951.0,,,634.0,,37.0,329.0,,3754.0,22.0,0.0,,,81.0,,,,61.0,588.0,67286.0,,3.0,,116.0,,281.0,,73.0,,1267.0,5.0,
2011-03-08,,,,29.0,336.0,309.0,1167.0,,,664.0,,30.0,136.0,,1607.0,11.0,0.0,,,40.0,,,,201.0,14480.0,51051.0,,0.0,,91.0,,219.0,,51.0,,1104.0,10.0,
2011-03-09,,,,43.0,260.0,360.0,1580.0,,,161.0,,58.0,1160.0,,868.0,73.0,0.0,,,288.0,,,,144.0,9669.0,8222.0,,2.0,,111.0,,306.0,,73.0,,773.0,2.0,
2011-03-10,,,,29.0,198.0,63.0,1707.0,,,495.0,,19.0,177.0,,562.0,31.0,0.0,,,238.0,,,,99.0,15526.0,47714.0,,0.0,,119.0,,417.0,,46.0,,583.0,1.0,
2011-03-11,,,,14.0,614.0,86.0,1028.0,,,345.0,,71.0,1238.0,,979.0,34.0,0.0,,,46.0,,,,175.0,2276.0,59369.0,,0.0,,89.0,,235.0,,8.0,,366.0,3.0,
2011-03-12,,,,72.0,889.0,75.0,1324.0,,,176.0,,17.0,573.0,,1024.0,0.0,0.0,,,16.0,,,,19.0,1005.0,24404.0,,0.0,,42.0,,103.0,,0.0,,67.0,0.0,
2011-03-13,,,,16.0,247.0,95.0,335.0,,,177.0,,28.0,154.0,,2121.0,1.0,0.0,,,317.0,,,,73.0,2120.0,26377.0,,2.0,,11.0,,187.0,,28.0,,305.0,0.0,
2011-03-14,,,,24.0,192.0,91.0,1165.0,,,269.0,,67.0,326.0,,1832.0,1.0,0.0,,,196.0,,,,79.0,3312.0,21843.0,,0.0,,73.0,,418.0,,29.0,,1504.0,3.0,
2011-03-15,,,,33.0,316.0,125.0,835.0,,,221.0,,40.0,132.0,,1726.0,0.0,0.0,,,314.0,,,,128.0,10809.0,55694.0,,5.0,,169.0,,375.0,,40.0,,383.0,0.0,
2011-03-16,,,,15.0,101.0,370.0,708.0,,,248.0,,128.0,149.0,,1367.0,12.0,0.0,,,68.0,,,,234.0,146.0,54924.0,,5.0,,119.0,,378.0,,50.0,,744.0,2.0,
2011-03-17,,,,42.0,181.0,40.0,460.0,,,326.0,,166.0,445.0,,2052.0,12.0,0.0,,,252.0,,,,246.0,405.0,15953.0,,3.0,,100.0,,300.0,,60.0,,836.0,1.0,
2011-03-18,,,,10.0,129.0,37.0,1106.0,,,238.0,,99.0,415.0,,1945.0,9.0,0.0,,,257.0,,,,142.0,898.0,12485.0,,3.0,,134.0,,317.0,,28.0,,673.0,4.0,
2011-03-19,,,,12.0,82.0,41.0,877.0,,,175.0,,115.0,111.0,,2553.0,17.0,0.0,,,78.0,,,,147.0,32.0,10507.0,,21.0,,53.0,,139.0,,21.0,,658.0,5.0,
2011-03-20,,,,30.0,156.0,40.0,1307.0,,,82.0,,31.0,95.0,,5280.0,18.0,0.0,,,31.0,,,,229.0,44.0,8309.0,,6.0,,122.0,,319.0,,22.0,,861.0,10.0,
2011-03-21,,,,15.0,166.0,56.0,1867.0,,,317.0,,76.0,114.0,,4667.0,21.0,0.0,,,246.0,,,,178.0,8826.0,12832.0,,9.0,,223.0,,257.0,,52.0,,895.0,3.0,
2011-03-22,,,,17.0,211.0,45.0,3177.0,,,282.0,,69.0,58.0,,3721.0,4.0,0.0,,,322.0,,,,85.0,4721.0,10696.0,,0.0,,134.0,,241.0,,42.0,,779.0,0.0,
2011-03-23,,,,11.0,403.0,56.0,6683.0,,,267.0,,60.0,273.0,,296.0,0.0,0.0,,,52.0,,,,80.0,14179.0,11101.0,,4.0,,119.0,,183.0,,48.0,,806.0,2.0,
2011-03-24,,,,17.0,327.0,47.0,5686.0,,,281.0,,73.0,345.0,,2696.0,5.0,0.0,,,98.0,,,,167.0,10023.0,6873.0,,10.0,,66.0,,368.0,,45.0,,985.0,9.0,
2011-03-25,,,,14.0,153.0,87.0,541.0,,,284.0,,61.0,244.0,,2281.0,47.0,0.0,,,126.0,,,,202.0,3158.0,31244.0,,24.0,,125.0,,220.0,,28.0,,701.0,7.0,
2011-03-26,,,,4.0,216.0,74.0,1599.0,,,322.0,,41.0,106.0,,2623.0,3.0,0.0,,,288.0,,,,128.0,46.0,14109.0,,8.0,,43.0,,222.0,,28.0,,687.0,2.0,
2011-03-27,,,,8.0,176.0,66.0,907.0,,,313.0,,74.0,1376.0,,3628.0,16.0,0.0,,,32.0,,,,109.0,43.0,2497.0,,10.0,,34.0,,124.0,,6.0,,785.0,16.0,
2011-03-28,,,,5.0,267.0,87.0,931.0,,,467.0,,83.0,1998.0,,3740.0,33.0,0.0,,,342.0,,,,163.0,1051.0,13188.0,,25.0,,122.0,,397.0,,13.0,,655.0,12.0,
2011-03-29,,,,8.0,171.0,79.0,852.0,,,567.0,,294.0,355.0,,2730.0,41.0,0.0,,,326.0,,,,205.0,17.0,1977.0,,20.0,,145.0,,457.0,,25.0,,595.0,12.0,
2011-03-30,,,,10.0,166.0,69.0,343.0,,,233.0,,326.0,195.0,,2603.0,23.0,0.0,,,154.0,,,,74.0,4004.0,9602.0,,42.0,,179.0,,606.0,,24.0,,703.0,4.0,
2011-03-31,,,,15.0,192.0,46.0,513.0,,,291.0,,70.0,1338.0,,3610.0,12.0,0.0,,,127.0,,,,281.0,28.0,12862.0,,34.0,,144.0,,416.0,,13.0,,773.0,4.0,
2011-04-01,,,,6.0,543.0,44.0,292.0,,,275.0,,73.0,3063.0,,2884.0,18.0,0.0,,,41.0,,,,99.0,618.0,15766.0,,7.0,,91.0,,188.0,,26.0,,587.0,8.0,
2011-04-02,,,,208.0,150.0,76.0,343.0,,,136.0,,69.0,125.0,,3111.0,2.0,0.0,,,22.0,,,,136.0,24.0,26125.0,,12.0,,20.0,,0.0,,24.0,,606.0,15.0,
2011-04-03,,,,27.0,145.0,58.0,278.0,,,195.0,,69.0,86.0,,1728.0,15.0,0.0,,,34.0,,,,151.0,24.0,46526.0,,2.0,,9.0,,149.0,,24.0,,785.0,4.0,
2011-04-04,,,,3.0,166.0,72.0,774.0,,,208.0,,71.0,501.0,,2072.0,30.0,0.0,,,31.0,,,,153.0,1540.0,18036.0,,7.0,,20.0,,322.0,,25.0,,822.0,14.0,
2011-04-05,,,,77.0,164.0,83.0,347.0,,,424.0,,305.0,362.0,,2357.0,35.0,0.0,,,30.0,,,,123.0,4961.0,22037.0,,13.0,,36.0,,252.0,,20.0,,922.0,8.0,
2011-04-06,,,,31.0,186.0,80.0,571.0,,,211.0,,50.0,309.0,,450.0,50.0,8.0,,,68.0,,,,227.0,10028.0,10079.0,,6.0,,98.0,,163.0,,51.0,,961.0,4.0,
2011-04-07,,,,175.0,152.0,53.0,511.0,,,364.0,,29.0,210.0,,237.0,44.0,45.0,,,56.0,,,,230.0,6777.0,6871.0,,0.0,,109.0,,448.0,,26.0,,851.0,3.0,
2011-04-08,,,,46.0,204.0,23.0,299.0,,,332.0,,27.0,147.0,,675.0,28.0,52.0,,,67.0,,,,153.0,6777.0,11311.0,,3.0,,99.0,,302.0,,63.0,,887.0,3.0,
2011-04-09,,,,60.0,161.0,57.0,201.0,,,145.0,,318.0,545.0,,864.0,20.0,49.0,,,10.0,,,,46.0,28.0,3609.0,,1.0,,106.0,,12.0,,60.0,,1214.0,0.0,
2011-04-10,,,,29.0,177.0,71.0,388.0,,,143.0,,72.0,587.0,,1982.0,10.0,52.0,,,27.0,,,,105.0,48.0,3448.0,,9.0,,96.0,,0.0,,32.0,,566.0,0.0,
2011-04-11,,,,94.0,234.0,91.0,334.0,,,208.0,,4.0,339.0,,1359.0,29.0,50.0,,,73.0,,,,83.0,6784.0,5136.0,,3.0,,129.0,,518.0,,56.0,,1086.0,0.0,
2011-04-12,,,,46.0,113.0,141.0,403.0,,,286.0,,18.0,346.0,,1505.0,12.0,46.0,,,213.0,,,,85.0,6398.0,21078.0,,4.0,,198.0,,879.0,,56.0,,1105.0,1.0,
2011-04-13,,,,54.0,170.0,331.0,495.0,,,199.0,,36.0,875.0,,1744.0,43.0,47.0,,,163.0,,,,144.0,200.0,18400.0,,14.0,,221.0,,952.0,,71.0,,998.0,1.0,
2011-04-14,,,,36.0,1598.0,34.0,745.0,,,278.0,,143.0,693.0,,1265.0,13.0,44.0,,,131.0,,,,68.0,332.0,6726.0,,5.0,,191.0,,561.0,,64.0,,822.0,7.0,
2011-04-15,,,,131.0,118.0,178.0,16.0,,,542.0,,801.0,374.0,,818.0,17.0,40.0,,,163.0,,,,88.0,257.0,4693.0,,5.0,,203.0,,666.0,,43.0,,807.0,1.0,
2011-04-16,,,,41.0,243.0,134.0,0.0,,,410.0,,643.0,84.0,,6022.0,7.0,52.0,,,162.0,,,,67.0,20.0,3184.0,,1.0,,79.0,,280.0,,14.0,,439.0,0.0,
2011-04-17,,,,42.0,221.0,110.0,0.0,,,297.0,,710.0,151.0,,2456.0,4.0,51.0,,,95.0,,,,94.0,0.0,3151.0,,4.0,,64.0,,84.0,,20.0,,502.0,0.0,
2011-04-18,,,,23.0,220.0,95.0,0.0,,,41.0,,198.0,350.0,,1646.0,30.0,31.0,,,137.0,,,,147.0,40.0,3989.0,,6.0,,127.0,,263.0,,74.0,,721.0,9.0,
2011-04-19,,,,63.0,142.0,67.0,0.0,,,510.0,,235.0,646.0,,2461.0,21.0,28.0,,,237.0,,,,145.0,41.0,3852.0,,4.0,,107.0,,134.0,,89.0,,801.0,13.0,
2011-04-20,,,,14.0,179.0,45.0,0.0,,,600.0,,126.0,1637.0,,138.0,35.0,55.0,,,275.0,,,,143.0,120.0,3674.0,,1.0,,188.0,,128.0,,90.0,,838.0,17.0,
2011-04-21,,,,41.0,184.0,38.0,0.0,,,457.0,,53.0,986.0,,156.0,44.0,49.0,,,439.0,,,,209.0,363.0,8918.0,,2.0,,394.0,,407.0,,87.0,,571.0,2.0,
2011-04-22,,,,24.0,223.0,50.0,0.0,,,308.0,,69.0,1626.0,,275.0,13.0,52.0,,,154.0,,,,50.0,162.0,7253.0,,2.0,,121.0,,300.0,,36.0,,531.0,3.0,
2011-04-23,,,,29.0,176.0,41.0,0.0,,,166.0,,50.0,733.0,,509.0,23.0,51.0,,,70.0,,,,39.0,0.0,9586.0,,2.0,,250.0,,2.0,,1.0,,94.0,0.0,
2011-04-24,,,,32.0,204.0,56.0,0.0,,,227.0,,46.0,599.0,,920.0,20.0,48.0,,,82.0,,,,25.0,0.0,13445.0,,0.0,,222.0,,113.0,,34.0,,259.0,1.0,
2011-04-25,,,,20.0,223.0,84.0,0.0,,,244.0,,65.0,404.0,,1228.0,22.0,48.0,,,117.0,,,,140.0,0.0,30838.0,,19.0,,367.0,,419.0,,89.0,,1015.0,1.0,
2011-04-26,,,,30.0,239.0,45.0,0.0,,,196.0,,248.0,1190.0,,1181.0,15.0,45.0,,,179.0,,,,235.0,48.0,31905.0,,56.0,,248.0,,489.0,,151.0,,1170.0,4.0,
2011-04-27,,,,38.0,157.0,44.0,0.0,,,220.0,,1170.0,3601.0,,209.0,29.0,44.0,,,183.0,,,,237.0,59.0,21452.0,,15.0,,640.0,,425.0,,148.0,,1080.0,3.0,
2011-04-28,,,,20.0,562.0,9.0,0.0,,,625.0,,126.0,2367.0,,50.0,8.0,46.0,,,177.0,,,,103.0,63.0,23679.0,,0.0,,751.0,,460.0,,100.0,,1090.0,3.0,
2011-04-29,,,,17.0,728.0,47.0,0.0,,,276.0,,133.0,412.0,,713.0,20.0,49.0,,,83.0,,,,104.0,2888.0,12529.0,,0.0,,1040.0,,194.0,,116.0,,932.0,3.0,
2011-04-30,,,,13.0,179.0,32.0,0.0,,,162.0,,104.0,62.0,,0.0,10.0,906.0,,,50.0,,,,37.0,1454.0,3911.0,,1.0,,764.0,,562.0,,121.0,,1229.0,3.0,
2011-05-01,,,,23.0,216.0,29.0,0.0,,,415.0,,35.0,1463.0,,788.0,1.0,51.0,,,60.0,,,,70.0,535.0,673.0,,0.0,,876.0,,494.0,,95.0,,1254.0,1.0,
2011-05-02,,,,276.0,159.0,38.0,0.0,,,247.0,,395.0,2060.0,,1151.0,15.0,42.0,,,90.0,,,,122.0,8356.0,2494.0,,0.0,,712.0,,386.0,,87.0,,757.0,4.0,
2011-05-03,,,,186.0,241.0,23.0,0.0,,,282.0,,469.0,2407.0,,946.0,27.0,39.0,,,124.0,,,,140.0,6180.0,1988.0,,0.0,,1025.0,,162.0,,72.0,,849.0,3.0,
2011-05-04,,,,514.0,227.0,14.0,0.0,,,327.0,,942.0,2248.0,,1557.0,42.0,11.0,,,89.0,,,,44.0,5845.0,7549.0,,9.0,,610.0,,183.0,,77.0,,1027.0,16.0,
2011-05-05,,,,57.0,257.0,14.0,0.0,,,311.0,,130.0,2319.0,,620.0,46.0,0.0,,,82.0,,,,115.0,5774.0,15672.0,,12.0,,464.0,,302.0,,80.0,,1093.0,6.0,
2011-05-06,,,,76.0,277.0,8.0,0.0,,,643.0,,214.0,3932.0,,465.0,125.0,13.0,,,126.0,,,,90.0,45.0,35956.0,,29.0,,655.0,,337.0,,69.0,,744.0,4.0,
2011-05-07,,,,52.0,188.0,7.0,0.0,,,877.0,,78.0,2535.0,,565.0,8.0,40.0,,,41.0,,,,49.0,24.0,17153.0,,1.0,,1192.0,,407.0,,109.0,,1073.0,2.0,
2011-05-08,,,,20.0,199.0,8.0,0.0,,,1383.0,,211.0,2050.0,,1048.0,20.0,46.0,,,22.0,,,,81.0,24.0,23444.0,,0.0,,612.0,,496.0,,84.0,,1278.0,1.0,
2011-05-09,,,,241.0,271.0,24.0,0.0,,,686.0,,461.0,2104.0,,1874.0,11.0,46.0,,,83.0,,,,66.0,24.0,56643.0,,6.0,,300.0,,975.0,,95.0,,1036.0,24.0,
2011-05-10,,,,569.0,280.0,94.0,0.0,,,1173.0,,542.0,2436.0,,1024.0,29.0,51.0,,,422.0,,,,73.0,24.0,14678.0,,11.0,,631.0,,624.0,,52.0,,960.0,15.0,
2011-05-11,,,,453.0,350.0,108.0,0.0,,,347.0,,590.0,2885.0,,1929.0,32.0,48.0,,,120.0,,,,116.0,24.0,33319.0,,1.0,,439.0,,1079.0,,92.0,,869.0,10.0,
2011-05-12,,,,37.0,319.0,11.0,0.0,,,344.0,,135.0,2362.0,,448.0,62.0,49.0,,,395.0,,,,130.0,281.0,45282.0,,5.0,,441.0,,941.0,,92.0,,1296.0,5.0,
2011-05-13,,,,279.0,230.0,30.0,0.0,,,369.0,,133.0,406.0,,106.0,23.0,50.0,,,273.0,,,,196.0,3225.0,22265.0,,0.0,,760.0,,874.0,,101.0,,868.0,5.0,
2011-05-14,,,,45.0,468.0,23.0,0.0,,,630.0,,89.0,177.0,,854.0,11.0,47.0,,,574.0,,,,123.0,6757.0,23371.0,,0.0,,970.0,,276.0,,72.0,,820.0,1.0,
2011-05-15,,,,76.0,141.0,35.0,0.0,,,583.0,,150.0,2176.0,,2187.0,13.0,48.0,,,310.0,,,,137.0,6745.0,22285.0,,0.0,,319.0,,282.0,,82.0,,855.0,1.0,
2011-05-16,,,,30.0,202.0,8.0,0.0,,,306.0,,105.0,2247.0,,1925.0,49.0,49.0,,,116.0,,,,88.0,534.0,19175.0,,16.0,,320.0,,692.0,,85.0,,1095.0,9.0,
2011-05-17,,,,265.0,149.0,2.0,0.0,,,646.0,,166.0,2490.0,,1562.0,81.0,3983.0,,,88.0,,,,98.0,2765.0,11792.0,,13.0,,424.0,,998.0,,92.0,,645.0,21.0,
2011-05-18,,,,357.0,126.0,13.0,0.0,,,332.0,,103.0,2277.0,,1727.0,25.0,3008.0,,,72.0,,,,56.0,16.0,9737.0,,4.0,,405.0,,548.0,,106.0,,1102.0,20.0,
2011-05-19,,,,18.0,374.0,21.0,0.0,,,309.0,,82.0,2531.0,,1404.0,63.0,35.0,,,79.0,,,,25.0,1030.0,2764.0,,8.0,,305.0,,774.0,,89.0,,777.0,10.0,
2011-05-20,,,,53.0,242.0,43.0,0.0,,,592.0,,70.0,316.0,,1171.0,233.0,45.0,,,112.0,,,,151.0,1377.0,12288.0,,7.0,,469.0,,324.0,,100.0,,711.0,15.0,
2011-05-21,,,,36.0,369.0,40.0,0.0,,,700.0,,58.0,133.0,,1156.0,12.0,50.0,,,77.0,,,,58.0,216.0,13484.0,,4.0,,358.0,,222.0,,86.0,,809.0,15.0,
2011-05-22,,,,62.0,193.0,20.0,0.0,,,336.0,,67.0,2175.0,,987.0,12.0,50.0,,,77.0,,,,50.0,24.0,11727.0,,0.0,,316.0,,412.0,,60.0,,760.0,0.0,
2011-05-23,,,,91.0,404.0,42.0,0.0,,,565.0,,59.0,2355.0,,1213.0,19.0,48.0,,,85.0,,,,33.0,24.0,7166.0,,0.0,,36.0,,517.0,,77.0,,987.0,22.0,
2011-05-24,,,,146.0,435.0,27.0,0.0,,,361.0,,51.0,2197.0,,1122.0,17.0,49.0,,,0.0,,,,6.0,57.0,4482.0,,12.0,,1310.0,,133.0,,97.0,,1388.0,29.0,
2011-05-25,,,,49.0,240.0,25.0,0.0,,,416.0,,47.0,2408.0,,1227.0,32.0,44.0,,,46.0,,,,22.0,40.0,4640.0,,16.0,,4308.0,,229.0,,101.0,,1200.0,22.0,
2011-05-26,,,,17.0,264.0,29.0,0.0,,,304.0,,65.0,2219.0,,380.0,62.0,53.0,,,114.0,,,,98.0,37.0,6739.0,,12.0,,3289.0,,201.0,,86.0,,1291.0,5.0,
2011-05-27,,,,28.0,486.0,21.0,0.0,,,396.0,,65.0,2590.0,,1248.0,49.0,48.0,,,173.0,,,,44.0,27.0,7930.0,,18.0,,5231.0,,452.0,,86.0,,882.0,1.0,
2011-05-28,,,,2.0,227.0,14.0,0.0,,,267.0,,110.0,355.0,,1805.0,52.0,46.0,,,63.0,,,,51.0,24.0,10817.0,,6.0,,4238.0,,316.0,,54.0,,726.0,0.0,
2011-05-29,,,,2.0,229.0,4.0,0.0,,,285.0,,88.0,2227.0,,3646.0,61.0,42.0,,,59.0,,,,67.0,39.0,5089.0,,0.0,,2656.0,,332.0,,25.0,,776.0,3.0,
2011-05-30,,,,28.0,66.0,0.0,0.0,,,888.0,,87.0,2319.0,,4399.0,92.0,50.0,,,74.0,,,,116.0,234.0,13615.0,,0.0,,3892.0,,562.0,,37.0,,745.0,2.0,
2011-05-31,,,,65.0,444.0,18.0,0.0,,,404.0,,101.0,2530.0,,1831.0,103.0,49.0,,,92.0,,,,70.0,332.0,14068.0,,7.0,,1788.0,,466.0,,89.0,,698.0,6.0,
2011-06-01,,,,28.0,400.0,23.0,0.0,,,414.0,,86.0,2532.0,,1181.0,88.0,49.0,,,82.0,,,,69.0,1491.0,14314.0,,0.0,,369.0,,585.0,,70.0,,960.0,2.0,
2011-06-02,,,,12.0,507.0,8.0,0.0,,,535.0,,84.0,2315.0,,250.0,63.0,40.0,,,142.0,,,,162.0,3186.0,12629.0,,0.0,,430.0,,547.0,,79.0,,1006.0,2.0,
2011-06-03,,,,6.0,419.0,33.0,0.0,,,576.0,,64.0,254.0,,37.0,67.0,36.0,,,477.0,,,,73.0,10057.0,13393.0,,0.0,,2556.0,,506.0,,57.0,,621.0,18.0,
2011-06-04,,,,6.0,727.0,2.0,0.0,,,492.0,,79.0,887.0,,692.0,26.0,36.0,,,134.0,,,,77.0,2312.0,12138.0,,0.0,,326.0,,314.0,,37.0,,550.0,2.0,
2011-06-05,,,,12.0,351.0,8.0,0.0,,,353.0,,90.0,2241.0,,1537.0,127.0,36.0,,,91.0,,,,110.0,9441.0,16265.0,,0.0,,887.0,,212.0,,54.0,,666.0,0.0,
2011-06-06,,,,161.0,8.0,6.0,0.0,,,533.0,,55.0,2545.0,,1292.0,70.0,36.0,,,192.0,,,,141.0,3886.0,11276.0,,0.0,,1347.0,,19.0,,103.0,,690.0,11.0,
2011-06-07,,,,102.0,0.0,30.0,0.0,,,893.0,,65.0,2392.0,,1344.0,90.0,48.0,,,110.0,,,,266.0,9853.0,7222.0,,0.0,,6203.0,,109.0,,55.0,,1119.0,4.0,
2011-06-08,,,,24.0,98.0,25.0,0.0,,,525.0,,118.0,2273.0,,982.0,60.0,56.0,,,417.0,,,,146.0,5622.0,11127.0,,0.0,,560.0,,193.0,,131.0,,912.0,5.0,
2011-06-09,,,,95.0,200.0,23.0,0.0,,,279.0,,93.0,2182.0,,1394.0,148.0,55.0,,,396.0,,,,150.0,1099.0,7786.0,,0.0,,595.0,,825.0,,93.0,,1051.0,6.0,
2011-06-10,,,,20.0,285.0,17.0,0.0,,,347.0,,61.0,294.0,,1392.0,124.0,60.0,,,317.0,,,,160.0,9670.0,6656.0,,1.0,,5498.0,,393.0,,82.0,,1219.0,4.0,
2011-06-11,,,,93.0,39.0,10.0,0.0,,,218.0,,61.0,178.0,,1093.0,330.0,58.0,,,100.0,,,,90.0,24.0,4991.0,,4.0,,9714.0,,8.0,,73.0,,1206.0,9.0,
2011-06-12,,,,24.0,106.0,4.0,0.0,,,621.0,,54.0,169.0,,1188.0,59.0,58.0,,,135.0,,,,89.0,24.0,5104.0,,0.0,,7051.0,,247.0,,65.0,,936.0,7.0,
2011-06-13,,,,38.0,541.0,20.0,0.0,,,573.0,,57.0,1236.0,,1356.0,135.0,58.0,,,459.0,,,,88.0,234.0,7855.0,,7.0,,5724.0,,682.0,,57.0,,939.0,8.0,
2011-06-14,,,,55.0,295.0,14.0,0.0,,,473.0,,71.0,577.0,,2952.0,140.0,53.0,,,272.0,,,,82.0,66.0,11207.0,,6.0,,6765.0,,202.0,,0.0,,234.0,1.0,
