,[CCT LSU SUPERMIC] Number of Jobs Submitted,[GATECH KEENELAND] Number of Jobs Submitted,[GATECH KIDS] Number of Jobs Submitted,[IU BIGRED*] Number of Jobs Submitted,[LONI QUEENBEE] Number of Jobs Submitted,[NCAR FROST] Number of Jobs Submitted,[NCSA ABE] Number of Jobs Submitted,[NCSA COBALT] Number of Jobs Submitted,[NCSA DTF] Number of Jobs Submitted,[NCSA EMBER*] Number of Jobs Submitted,[NCSA FORGE] Number of Jobs Submitted,[NCSA LINCOLN] Number of Jobs Submitted,[NICS ATHENA] Number of Jobs Submitted,[NICS DARTER] Number of Jobs Submitted,[NICS KRAKEN] Number of Jobs Submitted,[NICS NAUTILUS] Number of Jobs Submitted,[ORNL NSTG] Number of Jobs Submitted,[OSG] Number of Jobs Submitted,[PSC BIGBEN] Number of Jobs Submitted,[PSC BLACKLIGHT] Number of Jobs Submitted,[PSC BRIDGES LARGE] Number of Jobs Submitted,[PSC BRIDGES] Number of Jobs Submitted,[PSC GREENFIELD] Number of Jobs Submitted,[PSC POPLE] Number of Jobs Submitted,[PURDUE CONDOR] Number of Jobs Submitted,[PURDUE STEELE] Number of Jobs Submitted,[SDSC COMET] Number of Jobs Submitted,[SDSC DASH] Number of Jobs Submitted,[SDSC GORDON] Number of Jobs Submitted,[SDSC TRESTLES] Number of Jobs Submitted,[Stanford XSTREAM] Number of Jobs Submitted,[TACC LONESTAR4] Number of Jobs Submitted,[TACC LONESTAR] Number of Jobs Submitted,[TACC LONGHORN] Number of Jobs Submitted,[TACC MAVERICK2] Number of Jobs Submitted,[TACC RANGER] Number of Jobs Submitted,[TACC SPUR] Number of Jobs Submitted,[TACC STAMPEDE] Number of Jobs Submitted
2011-01-23,,,,63.0,255.0,1101.0,2488.0,0.0,,83.0,,70.0,4230.0,,875.0,6.0,0.0,,,10.0,,,,91.0,236.0,26153.0,,2.0,,4.0,,,0.0,33.0,,569.0,6.0,
2011-01-24,,,,252.0,227.0,1574.0,1717.0,0.0,,233.0,,72.0,334.0,,1147.0,1.0,0.0,,,40.0,,,,58.0,1228.0,24994.0,,4.0,,17.0,,,0.0,29.0,,1057.0,7.0,
2011-01-25,,,,70.0,201.0,26.0,1170.0,0.0,,153.0,,109.0,127.0,,1957.0,0.0,0.0,,,14.0,,,,50.0,207.0,15533.0,,1.0,,24.0,,,0.0,42.0,,736.0,5.0,
2011-01-26,,,,58.0,197.0,15.0,1235.0,0.0,,249.0,,76.0,131.0,,757.0,15.0,0.0,,,61.0,,,,94.0,3362.0,14971.0,,4.0,,193.0,,,0.0,24.0,,843.0,2.0,
2011-01-27,,,,116.0,190.0,125.0,6416.0,0.0,,194.0,,74.0,718.0,,327.0,16.0,0.0,,,176.0,,,,166.0,207.0,35887.0,,0.0,,93.0,,,0.0,49.0,,1159.0,2.0,
2011-01-28,,,,69.0,174.0,28.0,4343.0,0.0,,163.0,,120.0,445.0,,589.0,21.0,0.0,,,478.0,,,,996.0,36.0,40486.0,,1.0,,109.0,,,0.0,27.0,,669.0,7.0,
2011-01-29,,,,65.0,150.0,919.0,8852.0,0.0,,45.0,,38.0,159.0,,668.0,4.0,0.0,,,81.0,,,,77.0,399.0,36541.0,,0.0,,17.0,,,0.0,14.0,,596.0,0.0,
2011-01-30,,,,73.0,174.0,94.0,14977.0,0.0,,63.0,,38.0,204.0,,151.0,4.0,0.0,,,27.0,,,,275.0,127.0,24482.0,,1.0,,22.0,,,0.0,9.0,,681.0,1.0,
2011-01-31,,,,167.0,139.0,2165.0,1219.0,0.0,,151.0,,132.0,198.0,,805.0,3.0,0.0,,,92.0,,,,263.0,260.0,27017.0,,1.0,,49.0,,,0.0,9.0,,824.0,0.0,
2011-02-01,,,,64.0,98.0,6.0,1653.0,,,182.0,,120.0,719.0,,2274.0,12.0,0.0,,,435.0,,,,260.0,231.0,34003.0,,2.0,,72.0,,0.0,,63.0,,944.0,11.0,
2011-02-02,,,,52.0,175.0,71.0,1037.0,,,202.0,,34.0,611.0,,1749.0,30.0,0.0,,,853.0,,,,592.0,4163.0,33464.0,,3.0,,58.0,,29.0,,20.0,,816.0,4.0,
2011-02-03,,,,31.0,188.0,109.0,2018.0,,,185.0,,27.0,388.0,,524.0,22.0,0.0,,,320.0,,,,286.0,8471.0,29399.0,,0.0,,69.0,,125.0,,78.0,,1004.0,1.0,
2011-02-04,,,,16.0,342.0,125.0,1738.0,,,211.0,,79.0,590.0,,2255.0,35.0,0.0,,,41.0,,,,24.0,3326.0,13282.0,,2.0,,54.0,,145.0,,58.0,,1038.0,2.0,
2011-02-05,,,,51.0,233.0,901.0,1449.0,,,47.0,,117.0,488.0,,1526.0,67.0,0.0,,,146.0,,,,127.0,8.0,13150.0,,1.0,,13.0,,60.0,,62.0,,1014.0,2.0,
2011-02-06,,,,64.0,341.0,460.0,355.0,,,57.0,,26.0,153.0,,1697.0,69.0,0.0,,,141.0,,,,68.0,34.0,9401.0,,1.0,,19.0,,62.0,,93.0,,1192.0,6.0,
2011-02-07,,,,33.0,192.0,159.0,1878.0,,,126.0,,68.0,246.0,,1818.0,10.0,0.0,,,43.0,,,,103.0,6992.0,8622.0,,1.0,,48.0,,114.0,,80.0,,1420.0,4.0,
2011-02-08,,,,41.0,215.0,214.0,2307.0,,,220.0,,91.0,162.0,,8.0,6.0,0.0,,,174.0,,,,128.0,3176.0,12595.0,,3.0,,75.0,,26.0,,62.0,,1124.0,4.0,
2011-02-09,,,,137.0,505.0,689.0,1769.0,,,214.0,,12.0,578.0,,0.0,126.0,0.0,,,81.0,,,,127.0,7231.0,15483.0,,14.0,,71.0,,167.0,,66.0,,1393.0,6.0,
2011-02-10,,,,68.0,564.0,1166.0,2643.0,,,197.0,,36.0,121.0,,0.0,8.0,0.0,,,57.0,,,,87.0,1259.0,14710.0,,10.0,,151.0,,131.0,,73.0,,990.0,6.0,
2011-02-11,,,,60.0,551.0,280.0,1323.0,,,203.0,,28.0,122.0,,0.0,105.0,0.0,,,194.0,,,,62.0,4659.0,6617.0,,4.0,,147.0,,223.0,,61.0,,870.0,2.0,
2011-02-12,,,,18.0,407.0,41.0,2319.0,,,157.0,,24.0,1000.0,,3.0,33.0,0.0,,,34.0,,,,195.0,5527.0,4550.0,,8.0,,161.0,,98.0,,85.0,,1168.0,0.0,
2011-02-13,,,,8.0,204.0,24.0,1263.0,,,158.0,,18.0,2730.0,,0.0,19.0,0.0,,,87.0,,,,135.0,2989.0,4584.0,,0.0,,55.0,,100.0,,40.0,,1123.0,5.0,
2011-02-14,,,,3.0,255.0,124.0,2749.0,,,152.0,,35.0,217.0,,3.0,354.0,0.0,,,111.0,,,,205.0,4990.0,4480.0,,12.0,,79.0,,97.0,,78.0,,835.0,3.0,
2011-02-15,,,,15.0,341.0,196.0,2536.0,,,185.0,,20.0,93.0,,533.0,0.0,0.0,,,402.0,,,,176.0,5731.0,3846.0,,4.0,,90.0,,59.0,,65.0,,683.0,2.0,
2011-02-16,,,,23.0,179.0,501.0,1292.0,,,187.0,,15.0,64.0,,824.0,2.0,0.0,,,628.0,,,,428.0,261.0,9135.0,,7.0,,80.0,,400.0,,53.0,,814.0,5.0,
2011-02-17,,,,39.0,280.0,989.0,1327.0,,,1132.0,,16.0,155.0,,2211.0,1.0,0.0,,,436.0,,,,238.0,655.0,3074.0,,8.0,,22.0,,394.0,,67.0,,826.0,3.0,
2011-02-18,,,,97.0,313.0,15.0,1649.0,,,488.0,,25.0,24.0,,1690.0,14.0,0.0,,,150.0,,,,115.0,3998.0,9233.0,,2.0,,44.0,,156.0,,47.0,,805.0,10.0,
2011-02-19,,,,58.0,124.0,48.0,3918.0,,,263.0,,26.0,70.0,,1573.0,16.0,0.0,,,86.0,,,,63.0,840.0,7264.0,,1.0,,32.0,,173.0,,56.0,,857.0,11.0,
2011-02-20,,,,33.0,190.0,39.0,1189.0,,,142.0,,31.0,79.0,,2008.0,16.0,0.0,,,36.0,,,,165.0,3104.0,7323.0,,12.0,,17.0,,145.0,,35.0,,1327.0,13.0,
2011-02-21,,,,55.0,211.0,38.0,1102.0,,,659.0,,86.0,93.0,,1796.0,40.0,0.0,,,55.0,,,,148.0,148.0,7517.0,,16.0,,29.0,,221.0,,55.0,,842.0,6.0,
2011-02-22,,,,61.0,205.0,39.0,1949.0,,,2432.0,,136.0,211.0,,2991.0,8.0,0.0,,,96.0,,,,162.0,136.0,11814.0,,1.0,,21.0,,83.0,,44.0,,1106.0,13.0,
2011-02-23,,,,2.0,645.0,38.0,3069.0,,,299.0,,14.0,743.0,,347.0,57.0,0.0,,,21.0,,,,125.0,1447.0,14694.0,,4.0,,83.0,,397.0,,28.0,,747.0,0.0,
2011-02-24,,,,71.0,470.0,60.0,1628.0,,,271.0,,146.0,3846.0,,679.0,49.0,0.0,,,72.0,,,,105.0,916.0,4005.0,,2.0,,120.0,,979.0,,20.0,,1086.0,2.0,
2011-02-25,,,,2.0,112.0,30.0,1567.0,,,499.0,,46.0,2534.0,,1466.0,17.0,0.0,,,45.0,,,,134.0,2743.0,1739.0,,2.0,,101.0,,558.0,,31.0,,774.0,0.0,
2011-02-26,,,,4.0,177.0,25.0,1733.0,,,245.0,,26.0,597.0,,2634.0,9.0,0.0,,,53.0,,,,153.0,1222.0,1032.0,,2.0,,55.0,,328.0,,9.0,,561.0,0.0,
2011-02-27,,,,2.0,94.0,26.0,1052.0,,,173.0,,33.0,87.0,,1302.0,12.0,0.0,,,92.0,,,,120.0,429.0,702.0,,3.0,,86.0,,303.0,,9.0,,1177.0,3.0,
2011-02-28,,,,77.0,334.0,43.0,1426.0,,,798.0,,92.0,18.0,,1058.0,31.0,0.0,,,149.0,,,,219.0,897.0,1204.0,,2.0,,222.0,,503.0,,22.0,,833.0,2.0,
2011-03-01,,,,19.0,347.0,38.0,1529.0,,,245.0,,51.0,32.0,,7491.0,51.0,0.0,,,202.0,,,,174.0,1348.0,20957.0,,10.0,,217.0,,324.0,,2.0,,728.0,4.0,
2011-03-02,,,,11.0,356.0,110.0,3309.0,,,403.0,,96.0,58.0,,4761.0,22.0,0.0,,,14.0,,,,135.0,1434.0,45216.0,,19.0,,109.0,,823.0,,21.0,,852.0,10.0,
2011-03-03,,,,35.0,205.0,127.0,606.0,,,744.0,,47.0,50.0,,4163.0,5.0,0.0,,,46.0,,,,120.0,1025.0,34932.0,,5.0,,291.0,,975.0,,31.0,,480.0,1.0,
2011-03-04,,,,19.0,69.0,131.0,1926.0,,,156.0,,65.0,88.0,,2132.0,51.0,0.0,,,71.0,,,,102.0,1426.0,34869.0,,1.0,,300.0,,393.0,,28.0,,572.0,2.0,
2011-03-05,,,,48.0,265.0,206.0,2647.0,,,312.0,,22.0,58.0,,1882.0,3.0,0.0,,,53.0,,,,57.0,224.0,18953.0,,3.0,,72.0,,162.0,,12.0,,435.0,1.0,
2011-03-06,,,,16.0,815.0,210.0,2922.0,,,602.0,,20.0,88.0,,5010.0,19.0,0.0,,,50.0,,,,59.0,1024.0,64698.0,,0.0,,51.0,,178.0,,29.0,,953.0,2.0,
2011-03-07,,,,40.0,688.0,132.0,1819.0,,,630.0,,34.0,320.0,,3592.0,22.0,0.0,,,81.0,,,,57.0,584.0,66835.0,,3.0,,116.0,,277.0,,44.0,,1056.0,5.0,
2011-03-08,,,,28.0,324.0,300.0,962.0,,,661.0,,27.0,133.0,,1427.0,10.0,0.0,,,40.0,,,,183.0,14454.0,50586.0,,0.0,,91.0,,214.0,,24.0,,913.0,10.0,
2011-03-09,,,,17.0,260.0,357.0,1338.0,,,126.0,,39.0,1136.0,,638.0,73.0,0.0,,,280.0,,,,138.0,9539.0,7982.0,,2.0,,111.0,,302.0,,49.0,,555.0,2.0,
2011-03-10,,,,26.0,170.0,62.0,1490.0,,,449.0,,18.0,171.0,,331.0,31.0,0.0,,,225.0,,,,90.0,15315.0,47170.0,,0.0,,119.0,,414.0,,46.0,,424.0,1.0,
2011-03-11,,,,7.0,608.0,65.0,736.0,,,276.0,,32.0,1075.0,,615.0,26.0,0.0,,,44.0,,,,145.0,2155.0,58927.0,,0.0,,89.0,,219.0,,8.0,,253.0,3.0,
2011-03-12,,,,71.0,877.0,73.0,917.0,,,129.0,,14.0,567.0,,440.0,0.0,0.0,,,5.0,,,,0.0,479.0,24363.0,,0.0,,42.0,,102.0,,0.0,,23.0,0.0,
2011-03-13,,,,8.0,247.0,93.0,247.0,,,173.0,,19.0,97.0,,1387.0,1.0,0.0,,,316.0,,,,59.0,1373.0,26376.0,,1.0,,11.0,,187.0,,20.0,,152.0,0.0,
2011-03-14,,,,22.0,191.0,84.0,965.0,,,240.0,,67.0,322.0,,1527.0,1.0,0.0,,,196.0,,,,52.0,3246.0,21424.0,,0.0,,73.0,,417.0,,25.0,,1335.0,3.0,
2011-03-15,,,,23.0,302.0,124.0,632.0,,,213.0,,39.0,123.0,,1116.0,0.0,0.0,,,313.0,,,,93.0,9212.0,55226.0,,4.0,,161.0,,374.0,,28.0,,146.0,0.0,
2011-03-16,,,,13.0,100.0,370.0,476.0,,,221.0,,128.0,67.0,,808.0,12.0,0.0,,,62.0,,,,229.0,99.0,54424.0,,2.0,,119.0,,356.0,,38.0,,579.0,2.0,
2011-03-17,,,,40.0,133.0,40.0,287.0,,,292.0,,26.0,391.0,,1519.0,12.0,0.0,,,251.0,,,,220.0,404.0,15287.0,,3.0,,100.0,,252.0,,41.0,,612.0,1.0,
2011-03-18,,,,10.0,116.0,27.0,1019.0,,,180.0,,98.0,327.0,,1266.0,9.0,0.0,,,257.0,,,,130.0,537.0,12337.0,,2.0,,134.0,,315.0,,6.0,,570.0,4.0,
2011-03-19,,,,12.0,77.0,39.0,761.0,,,119.0,,34.0,96.0,,1720.0,17.0,0.0,,,78.0,,,,139.0,30.0,10194.0,,21.0,,53.0,,138.0,,0.0,,432.0,5.0,
2011-03-20,,,,28.0,133.0,39.0,942.0,,,75.0,,30.0,91.0,,4834.0,18.0,0.0,,,31.0,,,,159.0,38.0,8190.0,,3.0,,122.0,,317.0,,1.0,,536.0,10.0,
2011-03-21,,,,15.0,166.0,55.0,1607.0,,,245.0,,74.0,71.0,,4511.0,21.0,0.0,,,246.0,,,,102.0,8806.0,12802.0,,9.0,,223.0,,257.0,,41.0,,760.0,3.0,
2011-03-22,,,,17.0,190.0,45.0,3007.0,,,232.0,,14.0,34.0,,3580.0,2.0,0.0,,,311.0,,,,73.0,4718.0,10452.0,,0.0,,134.0,,150.0,,33.0,,623.0,0.0,
2011-03-23,,,,11.0,385.0,56.0,6476.0,,,157.0,,10.0,80.0,,116.0,0.0,0.0,,,34.0,,,,33.0,13445.0,10572.0,,4.0,,119.0,,183.0,,36.0,,697.0,2.0,
2011-03-24,,,,17.0,269.0,47.0,2154.0,,,223.0,,17.0,339.0,,2119.0,5.0,0.0,,,89.0,,,,62.0,9992.0,6401.0,,10.0,,66.0,,368.0,,24.0,,849.0,9.0,
2011-03-25,,,,12.0,151.0,71.0,515.0,,,235.0,,11.0,238.0,,2133.0,47.0,0.0,,,126.0,,,,97.0,3099.0,31070.0,,24.0,,115.0,,220.0,,14.0,,585.0,7.0,
2011-03-26,,,,4.0,207.0,74.0,1478.0,,,120.0,,7.0,95.0,,2409.0,3.0,0.0,,,288.0,,,,101.0,26.0,13672.0,,8.0,,43.0,,219.0,,3.0,,512.0,2.0,
2011-03-27,,,,8.0,176.0,66.0,840.0,,,166.0,,31.0,1316.0,,3393.0,16.0,0.0,,,32.0,,,,94.0,43.0,2466.0,,10.0,,34.0,,123.0,,5.0,,510.0,16.0,
2011-03-28,,,,5.0,267.0,86.0,892.0,,,389.0,,48.0,1991.0,,3633.0,33.0,0.0,,,342.0,,,,116.0,1051.0,13087.0,,25.0,,79.0,,397.0,,12.0,,444.0,12.0,
2011-03-29,,,,8.0,171.0,79.0,806.0,,,471.0,,1.0,348.0,,2114.0,25.0,0.0,,,326.0,,,,172.0,12.0,1024.0,,20.0,,140.0,,455.0,,21.0,,431.0,9.0,
2011-03-30,,,,10.0,165.0,69.0,334.0,,,222.0,,22.0,192.0,,2506.0,23.0,0.0,,,111.0,,,,47.0,4004.0,9521.0,,42.0,,179.0,,595.0,,22.0,,402.0,4.0,
2011-03-31,,,,15.0,166.0,46.0,374.0,,,261.0,,24.0,1333.0,,3350.0,12.0,0.0,,,127.0,,,,159.0,28.0,12658.0,,33.0,,144.0,,414.0,,9.0,,503.0,4.0,
2011-04-01,,,,4.0,543.0,29.0,241.0,,,227.0,,22.0,3057.0,,2786.0,18.0,0.0,,,37.0,,,,73.0,614.0,15765.0,,7.0,,91.0,,188.0,,21.0,,409.0,8.0,
2011-04-02,,,,208.0,145.0,76.0,328.0,,,110.0,,15.0,116.0,,3042.0,2.0,0.0,,,21.0,,,,108.0,24.0,25484.0,,2.0,,20.0,,0.0,,9.0,,335.0,15.0,
2011-04-03,,,,27.0,144.0,58.0,176.0,,,183.0,,10.0,80.0,,1482.0,15.0,0.0,,,34.0,,,,134.0,24.0,46141.0,,2.0,,9.0,,77.0,,6.0,,378.0,4.0,
2011-04-04,,,,3.0,161.0,72.0,687.0,,,176.0,,20.0,494.0,,1729.0,30.0,0.0,,,31.0,,,,131.0,1540.0,17823.0,,7.0,,20.0,,321.0,,19.0,,618.0,14.0,
2011-04-05,,,,5.0,164.0,82.0,272.0,,,393.0,,8.0,355.0,,2098.0,35.0,0.0,,,24.0,,,,99.0,4957.0,21706.0,,13.0,,36.0,,249.0,,3.0,,767.0,8.0,
2011-04-06,,,,29.0,164.0,80.0,530.0,,,186.0,,26.0,301.0,,312.0,37.0,8.0,,,60.0,,,,194.0,9969.0,9806.0,,6.0,,98.0,,160.0,,41.0,,773.0,4.0,
2011-04-07,,,,135.0,144.0,53.0,394.0,,,249.0,,9.0,205.0,,73.0,25.0,45.0,,,56.0,,,,210.0,6777.0,6157.0,,0.0,,109.0,,445.0,,19.0,,661.0,3.0,
2011-04-08,,,,43.0,196.0,23.0,215.0,,,291.0,,9.0,140.0,,264.0,26.0,52.0,,,65.0,,,,144.0,6777.0,10927.0,,1.0,,98.0,,302.0,,37.0,,710.0,3.0,
2011-04-09,,,,60.0,143.0,35.0,157.0,,,117.0,,316.0,500.0,,513.0,20.0,49.0,,,9.0,,,,42.0,28.0,2954.0,,1.0,,105.0,,12.0,,49.0,,694.0,0.0,
2011-04-10,,,,29.0,172.0,71.0,294.0,,,79.0,,3.0,577.0,,1389.0,10.0,52.0,,,19.0,,,,95.0,48.0,3276.0,,9.0,,92.0,,0.0,,7.0,,479.0,0.0,
2011-04-11,,,,42.0,143.0,91.0,308.0,,,125.0,,1.0,331.0,,1153.0,29.0,50.0,,,50.0,,,,71.0,6784.0,4362.0,,3.0,,129.0,,448.0,,29.0,,908.0,0.0,
2011-04-12,,,,43.0,104.0,141.0,368.0,,,234.0,,9.0,341.0,,1171.0,12.0,46.0,,,204.0,,,,71.0,6398.0,20343.0,,1.0,,198.0,,868.0,,48.0,,930.0,1.0,
2011-04-13,,,,53.0,112.0,331.0,435.0,,,174.0,,25.0,868.0,,1348.0,43.0,47.0,,,161.0,,,,128.0,240.0,17994.0,,13.0,,212.0,,946.0,,55.0,,797.0,1.0,
2011-04-14,,,,34.0,1572.0,34.0,735.0,,,230.0,,136.0,690.0,,820.0,13.0,44.0,,,121.0,,,,48.0,140.0,6259.0,,5.0,,191.0,,545.0,,53.0,,659.0,7.0,
2011-04-15,,,,109.0,58.0,171.0,6.0,,,320.0,,42.0,357.0,,575.0,17.0,40.0,,,154.0,,,,77.0,257.0,4071.0,,5.0,,203.0,,661.0,,31.0,,676.0,1.0,
2011-04-16,,,,41.0,67.0,134.0,0.0,,,337.0,,4.0,70.0,,5451.0,7.0,52.0,,,115.0,,,,45.0,20.0,2168.0,,1.0,,79.0,,265.0,,4.0,,279.0,0.0,
2011-04-17,,,,32.0,139.0,110.0,0.0,,,265.0,,11.0,120.0,,2374.0,4.0,51.0,,,64.0,,,,85.0,0.0,2576.0,,4.0,,64.0,,79.0,,14.0,,254.0,0.0,
2011-04-18,,,,23.0,166.0,95.0,0.0,,,28.0,,176.0,350.0,,1185.0,30.0,31.0,,,72.0,,,,139.0,40.0,3096.0,,6.0,,127.0,,239.0,,52.0,,649.0,9.0,
2011-04-19,,,,59.0,90.0,66.0,0.0,,,439.0,,162.0,646.0,,1915.0,21.0,28.0,,,183.0,,,,116.0,41.0,2646.0,,4.0,,106.0,,93.0,,66.0,,709.0,13.0,
2011-04-20,,,,14.0,113.0,45.0,0.0,,,536.0,,39.0,1209.0,,122.0,35.0,55.0,,,190.0,,,,120.0,120.0,2945.0,,1.0,,188.0,,81.0,,54.0,,717.0,17.0,
2011-04-21,,,,40.0,118.0,38.0,0.0,,,322.0,,17.0,955.0,,86.0,44.0,49.0,,,406.0,,,,189.0,363.0,8498.0,,2.0,,394.0,,349.0,,72.0,,459.0,2.0,
2011-04-22,,,,22.0,149.0,43.0,0.0,,,224.0,,16.0,1618.0,,177.0,13.0,52.0,,,148.0,,,,46.0,0.0,6742.0,,2.0,,121.0,,239.0,,20.0,,377.0,3.0,
2011-04-23,,,,11.0,125.0,41.0,0.0,,,87.0,,15.0,729.0,,60.0,23.0,51.0,,,58.0,,,,36.0,0.0,9345.0,,2.0,,250.0,,1.0,,1.0,,51.0,0.0,
2011-04-24,,,,28.0,131.0,56.0,0.0,,,163.0,,10.0,591.0,,471.0,20.0,48.0,,,52.0,,,,17.0,0.0,12992.0,,0.0,,222.0,,98.0,,32.0,,166.0,1.0,
2011-04-25,,,,17.0,190.0,82.0,0.0,,,200.0,,24.0,383.0,,632.0,22.0,48.0,,,112.0,,,,104.0,0.0,30422.0,,19.0,,206.0,,414.0,,77.0,,876.0,1.0,
2011-04-26,,,,29.0,123.0,26.0,0.0,,,122.0,,16.0,1143.0,,860.0,10.0,45.0,,,157.0,,,,229.0,48.0,31664.0,,51.0,,248.0,,473.0,,141.0,,1002.0,4.0,
2011-04-27,,,,38.0,87.0,44.0,0.0,,,177.0,,17.0,2872.0,,174.0,29.0,44.0,,,165.0,,,,208.0,59.0,21098.0,,15.0,,640.0,,395.0,,125.0,,993.0,3.0,
2011-04-28,,,,14.0,455.0,3.0,0.0,,,425.0,,26.0,2222.0,,29.0,8.0,46.0,,,161.0,,,,83.0,63.0,22894.0,,0.0,,751.0,,405.0,,49.0,,868.0,3.0,
2011-04-29,,,,16.0,648.0,45.0,0.0,,,193.0,,27.0,380.0,,436.0,20.0,49.0,,,82.0,,,,89.0,2887.0,11964.0,,0.0,,1040.0,,182.0,,96.0,,692.0,3.0,
2011-04-30,,,,12.0,82.0,31.0,0.0,,,86.0,,15.0,1.0,,0.0,6.0,906.0,,,37.0,,,,21.0,262.0,3779.0,,1.0,,764.0,,452.0,,88.0,,971.0,3.0,
2011-05-01,,,,23.0,166.0,29.0,0.0,,,337.0,,20.0,1452.0,,307.0,1.0,51.0,,,60.0,,,,64.0,524.0,286.0,,0.0,,876.0,,384.0,,77.0,,1039.0,1.0,
2011-05-02,,,,276.0,99.0,38.0,0.0,,,119.0,,364.0,2028.0,,650.0,15.0,42.0,,,88.0,,,,62.0,8356.0,2078.0,,0.0,,712.0,,358.0,,77.0,,610.0,4.0,
2011-05-03,,,,141.0,175.0,23.0,0.0,,,192.0,,310.0,2347.0,,691.0,22.0,39.0,,,118.0,,,,77.0,3357.0,1676.0,,0.0,,1025.0,,51.0,,68.0,,667.0,3.0,
2011-05-04,,,,512.0,117.0,10.0,0.0,,,235.0,,914.0,2202.0,,1168.0,42.0,11.0,,,78.0,,,,37.0,5435.0,7258.0,,9.0,,608.0,,137.0,,57.0,,750.0,16.0,
2011-05-05,,,,56.0,185.0,13.0,0.0,,,287.0,,86.0,2305.0,,485.0,46.0,0.0,,,59.0,,,,106.0,5774.0,14751.0,,12.0,,464.0,,219.0,,71.0,,911.0,6.0,
2011-05-06,,,,73.0,165.0,8.0,0.0,,,593.0,,17.0,3916.0,,248.0,125.0,13.0,,,122.0,,,,89.0,45.0,35511.0,,29.0,,655.0,,230.0,,37.0,,530.0,4.0,
2011-05-07,,,,27.0,131.0,7.0,0.0,,,765.0,,16.0,2526.0,,146.0,8.0,40.0,,,27.0,,,,36.0,24.0,16715.0,,1.0,,1192.0,,217.0,,26.0,,693.0,2.0,
2011-05-08,,,,19.0,147.0,8.0,0.0,,,1383.0,,47.0,2026.0,,516.0,19.0,46.0,,,4.0,,,,81.0,24.0,23376.0,,0.0,,611.0,,297.0,,76.0,,1213.0,1.0,
2011-05-09,,,,237.0,203.0,24.0,0.0,,,570.0,,120.0,2055.0,,1593.0,11.0,46.0,,,74.0,,,,66.0,24.0,56184.0,,6.0,,300.0,,924.0,,89.0,,903.0,24.0,
2011-05-10,,,,567.0,217.0,94.0,0.0,,,950.0,,22.0,2424.0,,938.0,29.0,51.0,,,416.0,,,,73.0,24.0,14078.0,,11.0,,631.0,,531.0,,46.0,,784.0,15.0,
2011-05-11,,,,453.0,279.0,108.0,0.0,,,318.0,,34.0,2872.0,,1555.0,32.0,48.0,,,105.0,,,,87.0,24.0,32681.0,,1.0,,439.0,,886.0,,92.0,,674.0,10.0,
2011-05-12,,,,36.0,249.0,11.0,0.0,,,247.0,,20.0,2327.0,,358.0,62.0,49.0,,,394.0,,,,123.0,281.0,45009.0,,5.0,,436.0,,831.0,,79.0,,887.0,5.0,
2011-05-13,,,,273.0,175.0,5.0,0.0,,,309.0,,56.0,396.0,,38.0,22.0,50.0,,,273.0,,,,118.0,3225.0,21822.0,,0.0,,704.0,,846.0,,87.0,,749.0,5.0,
2011-05-14,,,,43.0,128.0,21.0,0.0,,,616.0,,18.0,156.0,,244.0,11.0,47.0,,,574.0,,,,97.0,6757.0,22738.0,,0.0,,970.0,,181.0,,70.0,,631.0,1.0,
2011-05-15,,,,72.0,128.0,35.0,0.0,,,466.0,,33.0,2138.0,,1548.0,13.0,48.0,,,285.0,,,,110.0,6745.0,21881.0,,0.0,,319.0,,231.0,,80.0,,746.0,1.0,
2011-05-16,,,,27.0,202.0,8.0,0.0,,,297.0,,60.0,2197.0,,1828.0,49.0,49.0,,,116.0,,,,80.0,534.0,18345.0,,16.0,,319.0,,594.0,,75.0,,1041.0,9.0,
2011-05-17,,,,264.0,146.0,2.0,0.0,,,180.0,,55.0,2361.0,,1321.0,81.0,3983.0,,,87.0,,,,94.0,56.0,11267.0,,13.0,,372.0,,873.0,,73.0,,548.0,21.0,
2011-05-18,,,,356.0,125.0,13.0,0.0,,,267.0,,86.0,2206.0,,1264.0,24.0,3008.0,,,72.0,,,,53.0,16.0,9355.0,,0.0,,405.0,,395.0,,88.0,,839.0,20.0,
2011-05-19,,,,13.0,218.0,21.0,0.0,,,207.0,,70.0,2514.0,,1084.0,63.0,35.0,,,78.0,,,,5.0,1026.0,70.0,,0.0,,305.0,,645.0,,89.0,,614.0,10.0,
2011-05-20,,,,11.0,199.0,32.0,0.0,,,542.0,,63.0,284.0,,796.0,233.0,45.0,,,110.0,,,,84.0,1376.0,7612.0,,0.0,,469.0,,317.0,,88.0,,615.0,15.0,
2011-05-21,,,,32.0,303.0,40.0,0.0,,,437.0,,58.0,128.0,,964.0,12.0,50.0,,,76.0,,,,47.0,216.0,12219.0,,1.0,,358.0,,154.0,,86.0,,409.0,15.0,
2011-05-22,,,,62.0,143.0,20.0,0.0,,,235.0,,67.0,2159.0,,954.0,12.0,50.0,,,76.0,,,,43.0,24.0,10633.0,,0.0,,316.0,,271.0,,57.0,,648.0,0.0,
2011-05-23,,,,71.0,384.0,42.0,0.0,,,432.0,,59.0,2336.0,,1190.0,19.0,48.0,,,82.0,,,,33.0,24.0,6691.0,,0.0,,34.0,,503.0,,76.0,,862.0,22.0,
